target_coverage,method,method_label,metric,n_retained,full,retained,d_full,d_random,p,q,significant_q05
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",specificity,134,0.9444444444444444,0.9803921568627451,0.03594771241830064,0.03674118909535273,0.023976023976023976,0.07581607581607581,False
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",ece,134,0.22775966368000003,0.1861469098059701,-0.041612753874029934,-0.04135051563792544,0.003996003996003996,0.020550877693734836,True
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",cal_gap,134,-0.22775966368,-0.18614690980597015,0.04161275387402985,0.04134128895568656,0.003996003996003996,0.020550877693734836,True
0.9,siteholdout_uni2,"Weighted (UNI2, site-holdout)",bss,134,0.2013928647991392,0.32498278097197253,0.12358991617283333,0.12729931849688164,0.055944055944055944,0.12083916083916084,False
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",auroc,77,0.9141414141414141,0.9020833333333333,-0.012058080808080796,-0.011390798862288887,0.6533466533466533,0.7693176388828562,False
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",sensitivity,77,0.71900826446281,0.7777777777777778,0.058769513314967825,0.06109948554185374,0.1998001998001998,0.3158580549884898,False
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",specificity,77,0.9444444444444444,1.0,0.05555555555555558,0.05609946627878448,0.33166833166833165,0.4477522477522477,False
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",ece,77,0.22775966368000003,0.139349769974026,-0.08840989370597402,-0.09071495269332464,0.005994005994005994,0.026973026973026972,True
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",cal_gap,77,-0.22775966368,-0.13934976997402587,0.08840989370597413,0.09016164381981834,0.007992007992007992,0.03196803196803197,True
0.9,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",bss,77,0.2013928647991392,0.5025897539303465,0.30119688913120735,0.3219843120892116,0.013986013986013986,0.05208584518929346,False
0.8,plain,Plain conformal,auroc,168,0.9141414141414141,0.9156685808039376,0.0015271666625235047,0.0014441300030941795,0.6553446553446554,0.7693176388828562,False
0.8,plain,Plain conformal,sensitivity,168,0.71900826446281,0.7217391304347827,0.0027308659719726958,0.002661078008742712,0.7932067932067932,0.8566633366633367,False
0.8,plain,Plain conformal,specificity,168,0.9444444444444444,0.9622641509433962,0.017819706498951815,0.017834493717661326,0.03596403596403597,0.08827536100263374,False
0.8,plain,Plain conformal,ece,168,0.22775966368000003,0.22325000341666665,-0.0045096602633333815,-0.00451342379879166,0.3936063936063936,0.5060653632082204,False
0.8,plain,Plain conformal,cal_gap,168,-0.22775966368,-0.22325000341666673,0.0045096602633332705,0.004513423798791605,0.3936063936063936,0.5060653632082204,False
0.8,plain,Plain conformal,bss,168,0.2013928647991392,0.22404161335043016,0.022648748551290954,0.023233127567870715,0.3936063936063936,0.5060653632082204,False
0.8,weighted_uni2,Weighted (UNI2),auroc,130,0.9141414141414141,0.8944773175542408,-0.019664096587173385,-0.019369219972362073,0.13386613386613386,0.2329099471956615,False
0.8,weighted_uni2,Weighted (UNI2),sensitivity,130,0.71900826446281,0.7051282051282052,-0.013880059334604788,-0.014287273134713896,0.5914085914085914,0.7096903096903097,False
0.8,weighted_uni2,Weighted (UNI2),specificity,130,0.9444444444444444,0.9807692307692307,0.03632478632478631,0.037188665889690165,0.04395604395604396,0.10100537760112228,False
0.8,weighted_uni2,Weighted (UNI2),ece,130,0.22775966368000003,0.17271334441538455,-0.05504631926461548,-0.054701700537038545,0.001998001998001998,0.011988011988011988,True
0.8,weighted_uni2,Weighted (UNI2),cal_gap,130,-0.22775966368,-0.1727133444153846,0.055046319264615395,0.054701700537038433,0.001998001998001998,0.011988011988011988,True
0.8,weighted_uni2,Weighted (UNI2),bss,130,0.2013928647991392,0.3522164505585619,0.15082358575942267,0.1540132863616412,0.029970029970029972,0.07706579135150564,False
0.8,weighted_hoptimus,Weighted (H-optimus),auroc,124,0.9141414141414141,0.8925597636314799,-0.021581650509934214,-0.02073224651132144,0.13586413586413587,0.2329099471956615,False
0.8,weighted_hoptimus,Weighted (H-optimus),sensitivity,124,0.71900826446281,0.7123287671232876,-0.006679497339522333,-0.005902139256159011,0.8611388611388612,0.8939631796774654,False
0.8,weighted_hoptimus,Weighted (H-optimus),specificity,124,0.9444444444444444,0.9803921568627451,0.03594771241830064,0.037888112154742304,0.04395604395604396,0.10100537760112228,False
0.8,weighted_hoptimus,Weighted (H-optimus),ece,124,0.22775966368000003,0.16476980729032253,-0.0629898563896775,-0.06248289874606458,0.001998001998001998,0.011988011988011988,True
0.8,weighted_hoptimus,Weighted (H-optimus),cal_gap,124,-0.22775966368,-0.1647698072903226,0.06298985638967741,0.06246356250316132,0.001998001998001998,0.011988011988011988,True
0.8,weighted_hoptimus,Weighted (H-optimus),bss,124,0.2013928647991392,0.37319117197922913,0.17179830718008993,0.17654522446595144,0.027972027972027972,0.07706579135150564,False
0.8,fullfeat,Weighted (full-feature),auroc,165,0.9141414141414141,0.9144204851752022,0.00027907103378810305,0.00011721187089119844,0.8691308691308691,0.8939631796774654,False
0.8,fullfeat,Weighted (full-feature),sensitivity,165,0.71900826446281,0.7142857142857143,-0.0047225501770956635,-0.004563550252378645,0.7372627372627373,0.8208698517976869,False
0.8,fullfeat,Weighted (full-feature),specificity,165,0.9444444444444444,0.9622641509433962,0.017819706498951815,0.017606814575226393,0.027972027972027972,0.07706579135150564,False
0.8,fullfeat,Weighted (full-feature),ece,165,0.22775966368000003,0.2195325042060606,-0.008227159473939427,-0.008195552844672715,0.2137862137862138,0.32519593082973364,False
0.8,fullfeat,Weighted (full-feature),cal_gap,165,-0.22775966368,-0.21953250420606074,0.00822715947393926,0.008195552844672632,0.2137862137862138,0.32519593082973364,False
0.8,fullfeat,Weighted (full-feature),bss,165,0.2013928647991392,0.23276014176439508,0.031367276965255875,0.03133608916762448,0.3156843156843157,0.44277800121955974,False
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",auroc,143,0.9141414141414141,0.9023060796645702,-0.011835334476843928,-0.011763699806335182,0.2917082917082917,0.4200599400599401,False
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",sensitivity,143,0.71900826446281,0.7222222222222222,0.003213957759412245,0.0029446779368533793,0.8531468531468531,0.8939631796774654,False
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",specificity,143,0.9444444444444444,0.9622641509433962,0.017819706498951815,0.0180320923574272,0.1958041958041958,0.3158580549884898,False
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",ece,143,0.22775966368000003,0.1857807718461538,-0.04197889183384623,-0.04157122893944762,0.001998001998001998,0.011988011988011988,True
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",cal_gap,143,-0.22775966368,-0.18099000541258747,0.04676965826741253,0.046361995373014,0.001998001998001998,0.011988011988011988,True
0.8,siteholdout_uni2,"Weighted (UNI2, site-holdout)",bss,143,0.2013928647991392,0.33078187687564864,0.12938901207650944,0.1302358569703449,0.029970029970029972,0.07706579135150564,False
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",auroc,124,0.9141414141414141,0.8925597636314799,-0.021581650509934214,-0.021860921032152092,0.16383616383616384,0.27222008760470295,False
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",sensitivity,124,0.71900826446281,0.7123287671232876,-0.006679497339522333,-0.006075966015745227,0.7612387612387612,0.8389161858549613,False
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",specificity,124,0.9444444444444444,0.9803921568627451,0.03594771241830064,0.03649975105170722,0.04395604395604396,0.10100537760112228,False
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",ece,124,0.22775966368000003,0.16476980729032253,-0.0629898563896775,-0.06330184539624198,0.001998001998001998,0.011988011988011988,True
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",cal_gap,124,-0.22775966368,-0.1647698072903226,0.06298985638967741,0.06327893850156455,0.001998001998001998,0.011988011988011988,True
0.8,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",bss,124,0.2013928647991392,0.37319117197922913,0.17179830718008993,0.17609488298448076,0.029970029970029972,0.07706579135150564,False
0.7,plain,Plain conformal,auroc,135,0.9141414141414141,0.89967562557924,-0.014465788562174176,-0.014057197567770241,0.25574425574425574,0.3783613646627345,False
0.7,plain,Plain conformal,sensitivity,135,0.71900826446281,0.7228915662650602,0.003883301802250272,0.004473520254860808,0.8551448551448552,0.8939631796774654,False
0.7,plain,Plain conformal,specificity,135,0.9444444444444444,0.9807692307692307,0.03632478632478631,0.03636930195150789,0.023976023976023976,0.07581607581607581,False
0.7,plain,Plain conformal,ece,135,0.22775966368000003,0.17589477232592587,-0.051864891354074155,-0.051691915852703746,0.001998001998001998,0.011988011988011988,True
0.7,plain,Plain conformal,cal_gap,135,-0.22775966368,-0.17589477232592593,0.05186489135407407,0.0516806083995926,0.001998001998001998,0.011988011988011988,True
0.7,plain,Plain conformal,bss,135,0.2013928647991392,0.3573632975841555,0.15597043278501632,0.15835477131324147,0.015984015984015984,0.05754245754245754,False
0.7,weighted_uni2,Weighted (UNI2),auroc,104,0.9141414141414141,0.8856821589205397,-0.028459255220874446,-0.027497916060999494,0.14785214785214784,0.2495004995004995,False
0.7,weighted_uni2,Weighted (UNI2),sensitivity,104,0.71900826446281,0.7241379310344828,0.005129666571672797,0.004658968840012601,0.8791208791208791,0.8957080655193863,False
0.7,weighted_uni2,Weighted (UNI2),specificity,104,0.9444444444444444,1.0,0.05555555555555558,0.0560101903643202,0.12187812187812187,0.222977022977023,False
0.7,weighted_uni2,Weighted (UNI2),ece,104,0.22775966368000003,0.15276783984615383,-0.0749918238338462,-0.0744175548142885,0.001998001998001998,0.011988011988011988,True
0.7,weighted_uni2,Weighted (UNI2),cal_gap,104,-0.22775966368,-0.15276783984615389,0.07499182383384612,0.07438114856251918,0.001998001998001998,0.011988011988011988,True
0.7,weighted_uni2,Weighted (UNI2),bss,104,0.2013928647991392,0.43513412535871887,0.23374126055957967,0.2394050449800753,0.011988011988011988,0.04623947481090338,True
0.7,weighted_hoptimus,Weighted (H-optimus),auroc,167,0.9141414141414141,0.9152598477325388,0.0011184335911246235,0.0011262764328314745,0.7132867132867133,0.8069430569430569,False
0.7,weighted_hoptimus,Weighted (H-optimus),sensitivity,167,0.71900826446281,0.7192982456140351,0.00028998115122513823,3.760625157300801e-05,1.0,1.0,False
0.7,weighted_hoptimus,Weighted (H-optimus),specificity,167,0.9444444444444444,0.9622641509433962,0.017819706498951815,0.01821943962684247,0.01998001998001998,0.06743256743256744,False
0.7,weighted_hoptimus,Weighted (H-optimus),ece,167,0.22775966368000003,0.22192314391616766,-0.005836519763832371,-0.005765361490598808,0.3256743256743257,0.44522566041553385,False
0.7,weighted_hoptimus,Weighted (H-optimus),cal_gap,167,-0.22775966368,-0.2219231439161678,0.005836519763832204,0.005765361490598725,0.3256743256743257,0.44522566041553385,False
0.7,weighted_hoptimus,Weighted (H-optimus),bss,167,0.2013928647991392,0.22736361382217574,0.025970749023036532,0.02643055363458846,0.3156843156843157,0.44277800121955974,False
0.7,fullfeat,Weighted (full-feature),auroc,116,0.9141414141414141,0.8866666666666667,-0.02747474747474743,-0.027440714189332138,0.08791208791208792,0.17262737262737263,False
0.7,fullfeat,Weighted (full-feature),sensitivity,116,0.71900826446281,0.6818181818181818,-0.0371900826446282,-0.036710334656752774,0.2017982017982018,0.3158580549884898,False
0.7,fullfeat,Weighted (full-feature),specificity,116,0.9444444444444444,1.0,0.05555555555555558,0.05591733896800455,0.07192807192807193,0.14938907246599556,False
0.7,fullfeat,Weighted (full-feature),ece,116,0.22775966368000003,0.1667802936551724,-0.06097937002482762,-0.0613496005881983,0.001998001998001998,0.011988011988011988,True
0.7,fullfeat,Weighted (full-feature),cal_gap,116,-0.22775966368,-0.16678029365517244,0.06097937002482756,0.061342660534146554,0.001998001998001998,0.011988011988011988,True
0.7,fullfeat,Weighted (full-feature),bss,116,0.2013928647991392,0.3838975249345068,0.1825046601353676,0.18920776700432373,0.025974025974025976,0.07581607581607581,False
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",auroc,107,0.9141414141414141,0.8861702127659574,-0.027971201375456722,-0.0272010179314065,0.11188811188811189,0.21199852778800146,False
