signal,target_coverage,achieved_coverage,coverage_shift,calibration_cutoff,metric,full,retained,delta_vs_full,d_full,d_full_lo,d_full_hi,d_full_mde,p_full_raw,random_mean,random_lo,random_hi,delta_vs_random,pct_in_random,p_raw,retained_prev,random_prev,full_prev,n_retained,n_evaluation,family,predictor,tier,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,bss,0.5217635811208889,0.845041047706721,0.323277466585832,0.32139031674446666,0.1746045686619103,0.468913571042223,0.20468562092752457,0.0,0.5201280979191586,0.39844215653555476,0.6460384979380783,0.32491294978756236,1.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.002568859711716855,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,balanced_accuracy,0.6721311475409836,0.9444444444444444,0.27231329690346084,0.2690347359499603,0.19442599067599076,0.34852272727272726,0.11056051023426706,0.0,0.6723954384388583,0.6071428571428571,0.7391521739130434,0.2720490060055861,1.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,sensitivity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,1.0,False,1.0,False
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,specificity,0.3442622950819672,0.8888888888888888,0.5446265938069217,0.5380694718999206,0.38885198135198135,0.6970454545454545,0.22112102046853419,0.0,0.34479087687771665,0.21428571428571427,0.47830434782608694,0.5440980120111722,1.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,ppv,0.6226415094339622,0.9534883720930233,0.33084686265906105,0.3289193973864743,0.2365189199732645,0.4269117340992341,0.13626538659936294,0.0,0.6238678697451485,0.5208125,0.7200851063829786,0.32962050234787477,1.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,npv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,1.0,False,1.0,False
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,f1,0.7674418604651163,0.9761904761904762,0.20874861572535985,0.20863629993096072,0.14575899230941713,0.28143867766858627,0.09805566277106519,0.0,0.7671591727567,0.6849134823359769,0.8372667240884295,0.20903130343377618,1.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,brier,0.11937378773682814,0.0328525443241712,-0.08652124341265693,-0.08561151973471037,-0.11844122844263434,-0.052783969361245395,0.045375791365432905,0.0,0.11866153512283063,0.08725547350307057,0.1493881611920711,-0.08580899079865943,0.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,ece,0.10580637880901651,0.04162782923144809,-0.06417854957756843,-0.07676501609435221,-0.125018927169332,-0.026525593846571948,0.06964323137910464,0.0,0.13376676104072543,0.08565602588104242,0.18640109192643126,-0.09213893180927735,0.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.004495504495504496,True,0.0,True
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,cal_gap,0.061115441066542986,0.0003722399725751835,-0.0607432010939678,-0.05976938695971508,-0.12176057369466622,-0.0010029004416810684,0.0866450469441604,0.048,0.05994834728810495,-0.00272497655192421,0.1251178090208036,-0.059576107315529765,0.029,0.059940059940059943,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.11988011988011989,False,0.07854545454545454,False
