target_coverage,method,method_label,metric,n_retained,full,retained,d_full,random_mean,d_random,p,q,significant_q05
0.9,weighted_siteholdout,Weighted (site-holdout),sensitivity,241,0.8461538461538461,0.9411764705882353,0.09502262443438914,0.8467979607827708,0.09437850980546447,0.001998001998001998,0.004577240940877305,True
0.9,weighted_siteholdout,Weighted (site-holdout),specificity,241,0.9032258064516129,0.9590163934426229,0.05579058699101003,0.9037371810571979,0.05527921238542499,0.003996003996003996,0.006804006804006804,True
0.9,weighted_siteholdout,Weighted (site-holdout),ece,241,0.05450363905964393,0.020469839929875534,-0.034033799129768394,0.058741066465386724,-0.03827122653551119,0.001998001998001998,0.004577240940877305,True
0.9,weighted_siteholdout,Weighted (site-holdout),cal_gap,241,-0.04626401046557865,-0.008948035630290452,0.0373159748352882,-0.04573646409368797,0.03678842846339752,0.001998001998001998,0.004577240940877305,True
0.9,weighted_siteholdout,Weighted (site-holdout),bss,241,0.633596426619288,0.8216727175540428,0.18807629093475486,0.6344310825957814,0.1872416349582614,0.001998001998001998,0.004577240940877305,True
0.9,weighted_uni2only,Weighted (UNI2-only),auroc,268,0.9479262672811061,0.9677940602886276,0.019867793007521506,0.9478618559063254,0.019932204382302143,0.003996003996003996,0.006804006804006804,True
0.9,weighted_uni2only,Weighted (UNI2-only),sensitivity,268,0.8461538461538461,0.9124087591240876,0.06625491297024144,0.8463424956596136,0.06606626346447397,0.001998001998001998,0.004577240940877305,True
0.9,weighted_uni2only,Weighted (UNI2-only),specificity,268,0.9032258064516129,0.9465648854961832,0.04333907904457035,0.9031270453788118,0.043437840117371396,0.003996003996003996,0.006804006804006804,True
0.9,weighted_uni2only,Weighted (UNI2-only),ece,268,0.05450363905964393,0.032332591205597026,-0.022171047854046902,0.05767499233183284,-0.025342401126235814,0.001998001998001998,0.004577240940877305,True
0.9,weighted_uni2only,Weighted (UNI2-only),cal_gap,268,-0.04626401046557865,-0.021971565697388062,0.02429244476819059,-0.046169386978241786,0.024197821280853724,0.003996003996003996,0.006804006804006804,True
0.9,weighted_uni2only,Weighted (UNI2-only),bss,268,0.633596426619288,0.7623838243181076,0.12878739769881964,0.6332764756574022,0.1291073486607054,0.001998001998001998,0.004577240940877305,True
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),auroc,238,0.9479262672811061,0.9731581549763368,0.02523188769523077,0.9480106886949274,0.025147466281409403,0.001998001998001998,0.004577240940877305,True
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),sensitivity,238,0.8461538461538461,0.9401709401709402,0.09401709401709402,0.845428738288174,0.09474220188276616,0.001998001998001998,0.004577240940877305,True
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),specificity,238,0.9032258064516129,0.9586776859504132,0.05545187949880037,0.9034555252977854,0.05522216065262786,0.003996003996003996,0.006804006804006804,True
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),ece,238,0.05450363905964393,0.020930555727310934,-0.033573083332333,0.0598121454353916,-0.03888158970808067,0.001998001998001998,0.004577240940877305,True
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),cal_gap,238,-0.04626401046557865,-0.009132063978571359,0.037131946487007295,-0.04668851200707816,0.0375564480285068,0.001998001998001998,0.004577240940877305,True
0.9,weighted_hoptimusonly,Weighted (H-optimus-only),bss,238,0.633596426619288,0.8199832298552321,0.18638680323594414,0.6327121771545667,0.18727105270066535,0.001998001998001998,0.004577240940877305,True
0.8,plain,Plain conformal,auroc,328,0.9479262672811061,0.9518838627605044,0.003957595479398335,0.9479862541954642,0.003897608565040178,0.10789210789210789,0.12824910938118483,False
