predictor,family,target_coverage,signal_locked,cutoff_locked,signal_recal,cutoff_recal,primary_n,primary_achieved_cov,primary_nnd,primary_retained_acc,primary_full_auroc,primary_retained_auroc,primary_retained_auroc_lo,primary_retained_auroc_hi,primary_retained_auroc_mde,primary_retained_accuracy_lo,primary_retained_accuracy_hi,primary_retained_accuracy_mde,primary_d_full_auroc,primary_d_full_accuracy,primary_n_retained_errors,primary_pct_cw_retained,primary_tier_cov_A,primary_tier_cov_B,primary_tier_cov_C,primary_class_cov_mutant,primary_class_cov_wildtype,held_n,locked_held_achieved_cov,locked_held_retained_acc,locked_held_retained_auroc,locked_held_n_retained_errors,locked_held_pct_cw_retained,locked_held_class_cov_mutant,locked_held_class_cov_wildtype,recal_held_achieved_cov,recal_held_retained_acc,recal_held_retained_auroc,recal_held_n_retained_errors,recal_held_pct_cw_retained,recal_held_class_cov_mutant,recal_held_class_cov_wildtype
uni2,mc_dropout,0.8,mc_predictive_entropy_uni2,0.3490281809469355,mc_aleatoric_uni2,0.4324506992973139,320,0.603125,2.4901960784313726,0.8756476683937824,0.901050822297746,0.8839410939691444,0.8275946704067321,0.9351361617578308,0.07685883992425044,0.8341968911917098,0.9172279792746113,0.059341497198186904,-0.01710972832860158,0.11002266839378239,24,100.0,0.6025641025641025,,0.625,0.42857142857142855,0.779874213836478,102,0.5980392156862745,0.8524590163934426,0.8997668997668997,9,100.0,0.4489795918367347,0.7358490566037735,0.7745098039215687,0.8734177215189873,0.8957528957528957,10,90.0,0.7551020408163265,0.7924528301886793
uni2,mc_dropout,0.7,mc_predictive_entropy_uni2,0.2500781650645206,mc_aleatoric_uni2,0.35555500282453234,320,0.503125,2.7413793103448274,0.8944099378881988,0.901050822297746,0.8600223964165733,0.7890630832400148,0.921612541993281,0.09473178681429213,0.8509316770186336,0.9318322981366458,0.057818873535811444,-0.041028425881172725,0.12878493788819878,17,100.0,0.5064102564102564,,0.375,0.2919254658385093,0.7169811320754716,102,0.46078431372549017,0.8723404255319149,0.922077922077922,6,100.0,0.2857142857142857,0.6226415094339622,0.6764705882352942,0.8695652173913043,0.8974137931034483,9,100.0,0.5918367346938775,0.7547169811320755
uni2,ood,0.9,ood_attention_uni2,94.61228622436523,ood_maha_topk_uni2,125.84191437689594,320,0.96875,3.333333333333349,0.7677419354838709,0.901050822297746,0.9000999000999002,0.8624979187479188,0.9336101398601399,0.05082320089162741,0.7258064516129032,0.8064516129032258,0.05763629892431217,-0.0009509221978458715,0.0021169354838709298,72,43.05555555555556,0.967948717948718,,1.0,0.9565217391304348,0.9811320754716981,102,0.9803921568627451,0.8,0.8790064102564102,20,45.0,0.9795918367346939,0.9811320754716981,0.9019607843137255,0.8043478260869565,0.885579196217494,18,44.44444444444444,0.9591836734693877,0.8490566037735849
uni2,ood,0.8,ood_attention_uni2,91.93367889404296,ood_maha_topk_uni2,118.42452878606406,320,0.95,2.2857142857142905,0.7763157894736842,0.901050822297746,0.9050216450216451,0.8692608225108226,0.9368896103896104,0.04833362562247688,0.7335526315789473,0.8158717105263157,0.05883263131316878,0.003970822723899037,0.010690789473684181,68,41.1764705882353,0.9519230769230769,,0.875,0.9316770186335404,0.9685534591194969,102,0.9607843137254902,0.8163265306122449,0.8911138923654568,18,44.44444444444444,0.9591836734693877,0.9622641509433962,0.803921568627451,0.8048780487804879,0.8797846889952153,16,50.0,0.8979591836734694,0.7169811320754716
uni2,ood,0.7,ood_attention_uni2,90.62922805786133,ood_maha_topk_uni2,114.90053885121613,320,0.928125,3.285714285714279,0.7710437710437711,0.901050822297746,0.9049519317975694,0.8708439143841828,0.9386552240159622,0.04846407211359049,0.7306397306397306,0.8114478114478114,0.057752735891836056,0.003901109499823363,0.005418771043771087,68,41.1764705882353,0.9294871794871795,,0.875,0.9254658385093167,0.9308176100628931,102,0.9313725490196079,0.8105263157894737,0.8896276595744681,18,44.44444444444444,0.9591836734693877,0.9056603773584906,0.7450980392156863,0.8157894736842105,0.8837535014005602,14,42.857142857142854,0.8571428571428571,0.6415094339622641
uni2,predictive,0.9,entropy_uni2,0.5611737288646375,aleatoric_uni2,0.5154908056121403,320,0.809375,1.5641025641025648,0.861003861003861,0.901050822297746,0.9013744875813842,0.861223474801061,0.9393597781528816,0.05584324297664579,0.8223938223938224,0.8996138996138996,0.05518842522482402,0.0003236652836381415,0.09537886100386095,36,86.11111111111111,0.8108974358974359,,0.75,0.7204968944099379,0.89937106918239,102,0.7843137254901961,0.875,0.8939393939393939,10,90.0,0.7346938775510204,0.8301886792452831,0.8921568627450981,0.8241758241758241,0.8927536231884058,16,56.25,0.9183673469387755,0.8679245283018868
uni2,predictive,0.8,entropy_uni2,0.3468022274579657,aleatoric_uni2,0.4317190647582621,320,0.603125,2.4901960784313726,0.8756476683937824,0.901050822297746,0.8839410939691444,0.8292309490416082,0.9354955586722767,0.07594626519128211,0.8341968911917098,0.917098445595855,0.05924892075950028,-0.01710972832860158,0.11002266839378239,24,100.0,0.6025641025641025,,0.625,0.42857142857142855,0.779874213836478,102,0.5980392156862745,0.8524590163934426,0.8997668997668997,9,100.0,0.4489795918367347,0.7358490566037735,0.7745098039215687,0.8734177215189873,0.8957528957528957,10,90.0,0.7551020408163265,0.7924528301886793
uni2,predictive,0.7,entropy_uni2,0.2445039987074642,aleatoric_uni2,0.3560844170877631,320,0.496875,2.7758620689655173,0.8930817610062893,0.901050822297746,0.8589842247018084,0.7822143131973835,0.924403616775683,0.10162128854049514,0.8490566037735849,0.9371069182389937,0.06292868863685912,-0.04206659759593767,0.12745676100628933,17,100.0,0.5,,0.375,0.2857142857142857,0.710691823899371,102,0.45098039215686275,0.8695652173913043,0.9207459207459208,6,100.0,0.2653061224489796,0.6226415094339622,0.696078431372549,0.8732394366197183,0.8975806451612903,9,100.0,0.6326530612244898,0.7547169811320755
conch,deep_ensemble,0.9,de_predictive_entropy_conch,0.6608308354651906,de_aleatoric_conch,0.5423213365398865,320,0.925,3.4285714285714217,0.8614864864864865,0.8946833860697684,0.8978762274491893,0.8567675268326101,0.937935601735556,0.05801002010989269,0.8243243243243243,0.902027027027027,0.05553335288247916,0.0031928413794208854,0.011486486486486536,41,63.41463414634146,0.9262820512820513,,0.875,0.9006211180124224,0.949685534591195,102,0.9215686274509803,0.8404255319148937,0.872562358276644,15,66.66666666666667,0.9183673469387755,0.9245283018867925,0.8823529411764706,0.8444444444444444,0.8735119047619048,14,71.42857142857143,0.8571428571428571,0.9056603773584906
conch,deep_ensemble,0.8,de_predictive_entropy_conch,0.5391947566182161,de_aleatoric_conch,0.47901850745714597,320,0.784375,3.0,0.900398406374502,0.8946833860697684,0.8987115703533614,0.8517636178083939,0.9430412042352341,0.06523518797920007,0.8605577689243028,0.9362549800796812,0.054100047914613335,0.004028184283592973,0.05039840637450199,25,100.0,0.7884615384615384,,0.625,0.7267080745341615,0.8427672955974843,102,0.7843137254901961,0.875,0.8742928975487115,10,100.0,0.7551020408163265,0.8113207547169812,0.803921568627451,0.8658536585365854,0.8744019138755981,11,90.9090909090909,0.7755102040816326,0.8301886792452831
