predictor,family,signal,target_coverage,axis,level,n,realised_coverage,retained_prev,n_retained,metric,full,retained,d_full,d_full_lo,d_full_hi,d_full_p,d_full_mde,d_random,mde,p_raw,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,female,134,0.5447761194029851,0.2465753424657534,73,npv,0.825,0.9152542372881356,0.09025423728813564,0.03060319804129442,0.1636113671309318,0.002,0.09826979475932135,0.09269083753042451,0.12066484009635152,0.03596403596403597,0.09194425484018245,False,0.006890243902439025,True
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,female,134,0.5447761194029851,0.2465753424657534,73,f1,0.847457627118644,0.8125,-0.03495762711864403,-0.1680453616828087,0.07826565919441653,0.598,0.17713239762918026,-0.03316997293495938,0.09668601562346776,0.3116883116883117,0.647440794499618,False,0.989159420289855,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,auroc,0.8864821035561219,0.86059670781893,-0.02588539573719184,-0.09221091872766073,0.027722293511951834,0.378,0.0830431309613794,-0.02608717645807479,0.06837351097629071,0.2917082917082917,0.7609800913372341,False,0.7264285714285714,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,auprc,0.9060816877957356,0.867754243518924,-0.03832744427681156,-0.11343124120987567,0.020759680926635375,0.226,0.09640521138076495,-0.039607877681393955,0.06800666297530561,0.11988011988011989,0.3661203661203661,False,0.5298340248962655,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,bss,0.3544367871211892,0.40508296905444585,0.05064618193325665,-0.12909135236674987,0.2186838052360755,0.54,0.241349983281712,0.052462787674028344,0.23624718541723025,0.5294705294705294,0.7679788242448089,False,0.7932607932607932,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,balanced_accuracy,0.7961890420479555,0.7962962962962963,0.00010725424834079345,-0.06901230883559517,0.06513668565512327,0.998,0.09713464746914786,-0.0013157288582960058,0.07712818164197549,0.945054945054945,1.0,False,1.0,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,sensitivity,0.6597938144329897,0.6111111111111112,-0.04868270332187852,-0.1791202507347509,0.07891335808378336,0.42,0.17931538211187395,-0.05085965465353426,0.13366518454359358,0.24775224775224775,0.5404633976062548,False,0.8154639175257732,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,specificity,0.9325842696629213,0.9814814814814815,0.048897211818560216,0.0045611559527485475,0.10336784284897493,0.032,0.07024678387301721,0.04822819693694247,0.07637104113602661,0.027972027972027972,0.10480877147543814,False,0.16186666666666666,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,brier,0.16109224236278105,0.142780087426933,-0.018312154935848063,-0.06212443806826472,0.025880681480708732,0.362,0.06125095766606486,-0.017867652665590844,0.05698784018814665,0.3756243756243756,0.5831304245626496,False,0.5219334916864607,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,ece,0.15035960990034283,0.12336132394977745,-0.026998285950565387,-0.07450313845084837,0.030118911481824034,0.354,0.07511624877138771,-0.035962463787753945,0.06891803660658355,0.14985014985014986,0.24517261714027214,False,0.4861493212669683,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,cal_gap,-0.1503596099003428,-0.1174373626812465,0.03292224721909631,-0.025057023139613825,0.08675834499493398,0.236,0.07989723070688937,0.03328641036736746,0.0730109750291467,0.1978021978021978,0.37875688979789923,False,0.42889820359281433,False
