predictor,axis,level,n,prev,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,bss,bss_lo,bss_hi,balanced_accuracy,balanced_accuracy_lo,balanced_accuracy_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,cal_gap,cal_gap_lo,cal_gap_hi,accuracy,accuracy_lo,accuracy_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi,f1,f1_lo,f1_hi
hoptimus,tier,a,312,0.5160256410256411,0.9171568425815474,0.8837740476519441,0.9489341178321153,0.939313888800456,0.9123535427396148,0.9634862979309241,0.4307476200262822,0.2953156416671594,0.5491279395419649,0.8521862531364404,0.8131141202177788,0.8897676225916532,0.7639751552795031,0.6981132075471698,0.8284065934065934,0.9403973509933775,0.9,0.9743630573248407,0.1421668989310184,0.112303962972879,0.17384620957015104,0.15832599440517905,0.12350888319256813,0.19661232103434695,-0.15832599440517914,-0.19643758812341655,-0.1229345647257362,0.8493589743589743,0.8076923076923077,0.8878205128205128,0.9318181818181818,0.8842915319199904,0.9708082090341691,0.7888888888888889,0.7277367920038078,0.8465909090909091,0.8395904436860068,0.7916552197802198,0.8835616438356164
hoptimus,tier,c,8,0.0,,,,,,,,,,,,,,,,0.375,0.125,0.75,0.47563204191180436,0.2099238697816126,0.7376804267356146,0.5716081263963133,0.3025858518667519,0.8239873306825756,0.5716081263963133,0.3025858518667519,0.8239873306825756,0.375,0.125,0.75,,,,,,,,,
hoptimus,tier_grouped,c,8,0.0,,,,,,,,,,,,,,,,0.375,0.125,0.75,0.47563204191180436,0.2099238697816126,0.7376804267356146,0.5716081263963133,0.3025858518667519,0.8239873306825756,0.5716081263963133,0.3025858518667519,0.8239873306825756,0.375,0.125,0.75,,,,,,,,,
uni2+hoptimus,sex,female,134,0.47761194029850745,0.9267857142857143,0.8721042924211938,0.9707953877790835,0.8882891027134137,0.7916242769160958,0.9731821077022555,0.5522894301601353,0.3789226645515973,0.6994844291231599,0.8620535714285714,0.7985031094527363,0.916838876731173,0.78125,0.676923076923077,0.8793275862068964,0.9428571428571428,0.8805970149253731,0.9864864864864865,0.1117032386323565,0.07419600663156839,0.1545837859057675,0.1309700919899033,0.09319209665539605,0.18453034422457665,-0.10221225292936187,-0.15562873887342973,-0.04563522522038881,0.8656716417910447,0.8059701492537313,0.917910447761194,0.9259259259259259,0.8461538461538461,0.9827659263588544,0.825,0.7402463974381783,0.9066666666666666,0.847457627118644,0.7659389454209066,0.9105989956958391
uni2+hoptimus,sex,male,186,0.521505376344086,0.8864821035561219,0.834812797926188,0.9305794991263832,0.9060816877957356,0.8543731430605014,0.948145386703637,0.3544367871211892,0.18265976250625696,0.5028160573929832,0.7961890420479555,0.7402273225550459,0.8467094049986925,0.6597938144329897,0.5612244897959183,0.75,0.9325842696629213,0.8736811857229281,0.9785003431708991,0.16109224236278105,0.12343244149984252,0.20179701913607012,0.15035960990034283,0.11101765393602453,0.20968083588441488,-0.1503596099003428,-0.20176429443051333,-0.0982719292393535,0.7903225806451613,0.7311827956989247,0.8440860215053764,0.9142857142857143,0.8387096774193549,0.9722222222222222,0.7155172413793104,0.6335814249363867,0.7904870129870128,0.7664670658682635,0.6901287032540068,0.8301941961822796
uni2+hoptimus,age,20-39,104,0.7884615384615384,0.8608647450110865,0.7469705887121617,0.9517065746753246,0.9465608402212047,0.8921232642169608,0.9878600363717089,0.02305496719607525,-0.5840430271348412,0.3476727992340544,0.7993348115299335,0.6987125468164793,0.886517857142857,0.7804878048780488,0.6867469879518072,0.8642218060757385,0.8181818181818182,0.631578947368421,0.96,0.16294460421396822,0.11730191784380667,0.2140484459710003,0.19943666210971203,0.15190606729727452,0.2763030540296592,-0.19095320637839341,-0.2634770831567808,-0.12412231911081259,0.7884615384615384,0.7019230769230769,0.8653846153846154,0.9411764705882353,0.8787776412776412,0.9863013698630136,0.5,0.3243044515103339,0.6579107830551989,0.8533333333333334,0.7862068965517242,0.9101796407185628
uni2+hoptimus,age,40-54,120,0.48333333333333334,0.8859844271412681,0.8198505225243506,0.9434733187134502,0.8726412805503989,0.7764003308009008,0.9528067393118033,0.35616157428716144,0.14731306716988773,0.551426935645621,0.7867074527252502,0.7160839160839161,0.8542691713435869,0.6379310344827587,0.5106274424663482,0.7556060606060603,0.9354838709677419,0.8688524590163934,0.9852941176470589,0.16078076242106717,0.11043460805674365,0.21162085381441348,0.15508627252032356,0.11144321016365817,0.23140746060448386,-0.15138471877823273,-0.21763812489652384,-0.08382403512912187,0.7916666666666666,0.7166666666666667,0.8585416666666654,0.9024390243902439,0.8048647932131495,0.9772853535353535,0.7341772151898734,0.6341463414634146,0.8289553915275995,0.7474747474747475,0.6458165322580646,0.8349567907820334
uni2+hoptimus,age,55-69,82,0.1951219512195122,0.8106060606060606,0.6469608680792891,0.9532338308457712,0.7496493179952232,0.5347839025235419,0.9150912750695358,0.45675551687716964,0.14027559992073793,0.714660999986462,0.7973484848484849,0.6666319444444444,0.9138655462184874,0.625,0.36363636363636365,0.8501785714285705,0.9696969696969697,0.9206349206349206,1.0,0.08531620674861823,0.038101491031926935,0.13965321971451167,0.0808584967332824,0.03907394887419508,0.14629035845523822,-0.021674877725450736,-0.08636960607709183,0.03843555298560041,0.9024390243902439,0.8292682926829268,0.9634146341463414,0.8333333333333334,0.5833333333333334,1.0,0.9142857142857143,0.8472222222222222,0.971830985915493,0.7142857142857143,0.47619047619047616,0.8823529411764706
uni2+hoptimus,age,70+,11,0.36363636363636365,0.7857142857142857,0.35714285714285715,1.0,0.85,0.5333333333333333,1.0,0.3984139334376029,-0.4203601524299374,0.9099061481842717,0.75,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.13920999887394314,0.022026549560551174,0.3415201986964426,0.15386860580606893,0.06441188349642538,0.3790317965502089,-0.15386860580606895,-0.37903179655020885,-0.022696300248869275,0.8181818181818182,0.5454545454545454,1.0,1.0,0.0,1.0,0.7777777777777778,0.44873737373737377,1.0,0.6666666666666666,0.0,1.0
uni2+hoptimus,tier,a,312,0.5160256410256411,0.9245197647155609,0.8927620866102036,0.9526215008170832,0.9442909194589548,0.9188978178123671,0.9651996281481592,0.47281556995999496,0.35522517985483026,0.5830481824585491,0.8374809756900169,0.7971193198942407,0.8741514581879823,0.7080745341614907,0.6404382022471911,0.7756410256410257,0.9668874172185431,0.935064935064935,0.9932897091722596,0.13166071538772356,0.10402715066922376,0.15942154964469687,0.14846011946419588,0.11317834952601398,0.1837083591230345,-0.14846011946419596,-0.18365897690244495,-0.1117891816873826,0.8333333333333334,0.7916666666666666,0.875,0.957983193277311,0.9188817257624597,0.9914529914529915,0.7564766839378239,0.6952368220015278,0.8172043010752689,0.8142857142857143,0.7605607026187543,0.8609317512877115
uni2+hoptimus,tier,c,8,0.0,,,,,,,,,,,,,,,,0.375,0.125,0.75,0.4816559819054118,0.215615157366353,0.7351258334258052,0.5820284923538566,0.32850959515199063,0.8214030064642429,0.5820284923538566,0.32850959515199063,0.8214030064642429,0.375,0.125,0.75,,,,,,,,,
uni2+hoptimus,tier_grouped,c,8,0.0,,,,,,,,,,,,,,,,0.375,0.125,0.75,0.4816559819054118,0.215615157366353,0.7351258334258052,0.5820284923538566,0.32850959515199063,0.8214030064642429,0.5820284923538566,0.32850959515199063,0.8214030064642429,0.375,0.125,0.75,,,,,,,,,
ensemble,sex,female,134,0.47761194029850745,0.9337053571428572,0.8843364024253313,0.9739517507427234,0.8862211511329724,0.7885455385827621,0.9742786569211278,0.5736602895930981,0.41785451274328317,0.7123934377361936,0.8776785714285714,0.8195598472939591,0.932627837446163,0.8125,0.7101332398316971,0.9074145299145299,0.9428571428571428,0.8805970149253731,0.9868463773069036,0.1063712353877768,0.07011840965279727,0.14448150532532483,0.10258471983165217,0.07867880092878173,0.16649102257867,-0.0913925973295387,-0.14577076424698607,-0.03803371269857069,0.8805970149253731,0.8208955223880597,0.9328358208955224,0.9285714285714286,0.8571428571428571,0.9836065573770492,0.8461538461538461,0.7599759036144579,0.9264705882352942,0.8666666666666667,0.7956411623567048,0.9259356725146198
ensemble,sex,male,186,0.521505376344086,0.8884512915556585,0.8370238605733888,0.9357159240403405,0.9137786061739154,0.8636305311860853,0.9533886393876375,0.41089601552553134,0.24616572882247162,0.550827674910315,0.8210355612185798,0.764819884154781,0.8709513095358478,0.7319587628865979,0.6404382022471911,0.8173076923076923,0.9101123595505618,0.8437236657303371,0.9629742547425473,0.14700354659405965,0.11173349194784772,0.18562387051138066,0.1363006279283073,0.10092363917363947,0.19346992230288157,-0.13630062792830727,-0.18944287456444373,-0.085440908444755,0.8172043010752689,0.7580645161290323,0.8657258064516121,0.8987341772151899,0.8243243243243243,0.96,0.7570093457943925,0.6751650165016502,0.8362151856763925,0.8068181818181818,0.735632183908046,0.865517403133502
ensemble,age,20-39,104,0.7884615384615384,0.8802660753880266,0.769724163216011,0.9684168317611094,0.9555757990437574,0.9081678623298468,0.9924026454744539,0.13225191065593,-0.3443566832649295,0.42574582844365216,0.835920177383592,0.7367026742046933,0.9166666666666667,0.8536585365853658,0.7762828947368421,0.9268513076697031,0.8181818181818182,0.631578947368421,0.9583333333333334,0.14473165247565664,0.10285128838121188,0.19110144623700828,0.18151215383281505,0.14258533832393228,0.2563421457217863,-0.18151215383281494,-0.2443298733932002,-0.11953660080057132,0.8461538461538461,0.7788461538461539,0.9134615384615384,0.9459459459459459,0.8904109589041096,0.9871794871794872,0.6,0.4230769230769231,0.7777777777777778,0.8974358974358975,0.8435374149659864,0.9419354838709677
ensemble,age,40-54,120,0.48333333333333334,0.8826473859844272,0.811128729519977,0.9430454974361003,0.867384122722557,0.7663604993632884,0.9514481046715578,0.407193798831887,0.19907556342792024,0.5753521792015194,0.8045050055617353,0.7327492404615505,0.8706368193210298,0.6896551724137931,0.5651778656126482,0.8035801820728291,0.9193548387096774,0.8412698412698413,0.9827586206896551,0.1480368819028149,0.10422704406464796,0.1984514831174687,0.13850582696031777,0.10534875809020983,0.21694568827011004,-0.13691548066368947,-0.20177154565753883,-0.07357649277585253,0.8083333333333333,0.7333333333333333,0.875,0.8888888888888888,0.7878787878787878,0.975609756097561,0.76,0.6575342465753424,0.8507462686567164,0.7766990291262136,0.6739130434782609,0.8571428571428571
ensemble,age,55-69,82,0.1951219512195122,0.8181818181818182,0.6385560896777464,0.9620128794155305,0.7575392042001631,0.5414583902939166,0.9130805101095848,0.4421559858559242,0.13210032533783925,0.6925477037708057,0.7897727272727273,0.6595238095238095,0.9041010827407885,0.625,0.3748355263157895,0.8571428571428571,0.9545454545454546,0.9,1.0,0.08760905397622608,0.04263461322501811,0.140439871937271,0.055044207483439175,0.03856607029617696,0.12979196359420464,-0.01025064056739211,-0.0777707760614093,0.05396695965815831,0.8902439024390244,0.8170731707317073,0.9512195121951219,0.7692307692307693,0.5,1.0,0.9130434782608695,0.8420671243325705,0.971830985915493,0.6896551724137931,0.45447214076246334,0.8571428571428571
ensemble,age,70+,11,0.36363636363636365,0.75,0.3333333333333333,1.0,0.8409090909090909,0.5151515151515151,1.0,0.43809277255735224,-0.37176173786067074,0.9398509657485721,0.75,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.130028118747059,0.013908472289771379,0.33012312343402006,0.15658742358738723,0.06938673472878608,0.36794173700565636,-0.13632179830561986,-0.3585242827676913,-0.0014697494493289562,0.8181818181818182,0.5454545454545454,1.0,1.0,0.0,1.0,0.7777777777777778,0.5,1.0,0.6666666666666666,0.0,1.0
ensemble,tier,a,312,0.5160256410256411,0.9264941795894862,0.893488409736432,0.9558456961909343,0.9473673991341517,0.921549391818448,0.9695422113450439,0.514235713584823,0.39628711294033486,0.6160142097433212,0.8588087696927317,0.8204324145898663,0.8936896090581617,0.7639751552795031,0.6962025316455697,0.8260934652434262,0.9536423841059603,0.9177095154954169,0.9849706988058381,0.12131631705127556,0.09567235957200962,0.14942519433807755,0.13536825791025198,0.10219166083880758,0.17341987088200256,-0.13536825791025203,-0.1729784749500537,-0.10035240565813208,0.8557692307692307,0.8141025641025641,0.8911057692307689,0.9461538461538461,0.9037037037037037,0.9823085802231627,0.7912087912087912,0.7272610121836927,0.8489634252793297,0.845360824742268,0.7959849157054126,0.8872218943262593
