predictor,family,signal,target_coverage,axis,level,n,n_retained,realised_coverage
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,age,70+,11,9,0.8181818181818182
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,tier,a,312,254,0.8141025641025641
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,tier,c,8,6,0.75
uni2,mc_dropout,mc_predictive_entropy_uni2,0.9,tier_grouped,c,8,6,0.75
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,sex,female,134,86,0.6417910447761194
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,sex,male,186,107,0.5752688172043011
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,age,20-39,104,46,0.4423076923076923
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,age,40-54,120,73,0.6083333333333333
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,age,55-69,82,64,0.7804878048780488
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,age,70+,11,8,0.7272727272727273
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,tier,a,312,188,0.6025641025641025
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,tier,c,8,5,0.625
uni2,mc_dropout,mc_predictive_entropy_uni2,0.8,tier_grouped,c,8,5,0.625
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,sex,female,134,72,0.5373134328358209
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,sex,male,186,89,0.478494623655914
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,age,20-39,104,32,0.3076923076923077
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,age,40-54,120,62,0.5166666666666667
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,age,55-69,82,58,0.7073170731707317
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,age,70+,11,8,0.7272727272727273
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,tier,a,312,158,0.5064102564102564
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,tier,c,8,3,0.375
uni2,mc_dropout,mc_predictive_entropy_uni2,0.7,tier_grouped,c,8,3,0.375
uni2,ood,ood_attention_uni2,0.9,sex,female,134,129,0.9626865671641791
uni2,ood,ood_attention_uni2,0.9,sex,male,186,181,0.9731182795698925
uni2,ood,ood_attention_uni2,0.9,age,20-39,104,99,0.9519230769230769
uni2,ood,ood_attention_uni2,0.9,age,40-54,120,116,0.9666666666666667
uni2,ood,ood_attention_uni2,0.9,age,55-69,82,81,0.9878048780487805
uni2,ood,ood_attention_uni2,0.9,age,70+,11,11,1.0
uni2,ood,ood_attention_uni2,0.9,tier,a,312,302,0.967948717948718
uni2,ood,ood_attention_uni2,0.9,tier,c,8,8,1.0
uni2,ood,ood_attention_uni2,0.9,tier_grouped,c,8,8,1.0
uni2,ood,ood_attention_uni2,0.8,sex,female,134,126,0.9402985074626866
uni2,ood,ood_attention_uni2,0.8,sex,male,186,178,0.956989247311828
uni2,ood,ood_attention_uni2,0.8,age,20-39,104,96,0.9230769230769231
uni2,ood,ood_attention_uni2,0.8,age,40-54,120,114,0.95
uni2,ood,ood_attention_uni2,0.8,age,55-69,82,81,0.9878048780487805
uni2,ood,ood_attention_uni2,0.8,age,70+,11,11,1.0
uni2,ood,ood_attention_uni2,0.8,tier,a,312,297,0.9519230769230769
uni2,ood,ood_attention_uni2,0.8,tier,c,8,7,0.875
uni2,ood,ood_attention_uni2,0.8,tier_grouped,c,8,7,0.875
uni2,ood,ood_attention_uni2,0.7,sex,female,134,124,0.9253731343283582
uni2,ood,ood_attention_uni2,0.7,sex,male,186,173,0.9301075268817204
uni2,ood,ood_attention_uni2,0.7,age,20-39,104,95,0.9134615384615384
uni2,ood,ood_attention_uni2,0.7,age,40-54,120,111,0.925
uni2,ood,ood_attention_uni2,0.7,age,55-69,82,79,0.9634146341463414
uni2,ood,ood_attention_uni2,0.7,age,70+,11,10,0.9090909090909091
uni2,ood,ood_attention_uni2,0.7,tier,a,312,290,0.9294871794871795
uni2,ood,ood_attention_uni2,0.7,tier,c,8,7,0.875
uni2,ood,ood_attention_uni2,0.7,tier_grouped,c,8,7,0.875
uni2,predictive,entropy_uni2,0.9,sex,female,134,110,0.8208955223880597
uni2,predictive,entropy_uni2,0.9,sex,male,186,149,0.8010752688172043
uni2,predictive,entropy_uni2,0.9,age,20-39,104,75,0.7211538461538461
uni2,predictive,entropy_uni2,0.9,age,40-54,120,98,0.8166666666666667
uni2,predictive,entropy_uni2,0.9,age,55-69,82,75,0.9146341463414634
uni2,predictive,entropy_uni2,0.9,age,70+,11,9,0.8181818181818182
uni2,predictive,entropy_uni2,0.9,tier,a,312,253,0.8108974358974359
uni2,predictive,entropy_uni2,0.9,tier,c,8,6,0.75
uni2,predictive,entropy_uni2,0.9,tier_grouped,c,8,6,0.75
uni2,predictive,entropy_uni2,0.8,sex,female,134,86,0.6417910447761194
uni2,predictive,entropy_uni2,0.8,sex,male,186,107,0.5752688172043011
uni2,predictive,entropy_uni2,0.8,age,20-39,104,46,0.4423076923076923
uni2,predictive,entropy_uni2,0.8,age,40-54,120,73,0.6083333333333333
uni2,predictive,entropy_uni2,0.8,age,55-69,82,64,0.7804878048780488
uni2,predictive,entropy_uni2,0.8,age,70+,11,8,0.7272727272727273
uni2,predictive,entropy_uni2,0.8,tier,a,312,188,0.6025641025641025
uni2,predictive,entropy_uni2,0.8,tier,c,8,5,0.625
uni2,predictive,entropy_uni2,0.8,tier_grouped,c,8,5,0.625
uni2,predictive,entropy_uni2,0.7,sex,female,134,70,0.5223880597014925
uni2,predictive,entropy_uni2,0.7,sex,male,186,89,0.478494623655914
uni2,predictive,entropy_uni2,0.7,age,20-39,104,31,0.2980769230769231
uni2,predictive,entropy_uni2,0.7,age,40-54,120,62,0.5166666666666667
uni2,predictive,entropy_uni2,0.7,age,55-69,82,58,0.7073170731707317
uni2,predictive,entropy_uni2,0.7,age,70+,11,8,0.7272727272727273
uni2,predictive,entropy_uni2,0.7,tier,a,312,156,0.5
uni2,predictive,entropy_uni2,0.7,tier,c,8,3,0.375
uni2,predictive,entropy_uni2,0.7,tier_grouped,c,8,3,0.375
conch,deep_ensemble,de_predictive_entropy_conch,0.9,sex,female,134,121,0.9029850746268657
conch,deep_ensemble,de_predictive_entropy_conch,0.9,sex,male,186,175,0.9408602150537635
conch,deep_ensemble,de_predictive_entropy_conch,0.9,age,20-39,104,93,0.8942307692307693
conch,deep_ensemble,de_predictive_entropy_conch,0.9,age,40-54,120,114,0.95
conch,deep_ensemble,de_predictive_entropy_conch,0.9,age,55-69,82,77,0.9390243902439024
conch,deep_ensemble,de_predictive_entropy_conch,0.9,age,70+,11,10,0.9090909090909091
conch,deep_ensemble,de_predictive_entropy_conch,0.9,tier,a,312,289,0.9262820512820513
conch,deep_ensemble,de_predictive_entropy_conch,0.9,tier,c,8,7,0.875
conch,deep_ensemble,de_predictive_entropy_conch,0.9,tier_grouped,c,8,7,0.875
conch,deep_ensemble,de_predictive_entropy_conch,0.8,sex,female,134,107,0.7985074626865671
conch,deep_ensemble,de_predictive_entropy_conch,0.8,sex,male,186,144,0.7741935483870968
conch,deep_ensemble,de_predictive_entropy_conch,0.8,age,20-39,104,76,0.7307692307692307
conch,deep_ensemble,de_predictive_entropy_conch,0.8,age,40-54,120,96,0.8
conch,deep_ensemble,de_predictive_entropy_conch,0.8,age,55-69,82,68,0.8292682926829268
conch,deep_ensemble,de_predictive_entropy_conch,0.8,age,70+,11,10,0.9090909090909091
conch,deep_ensemble,de_predictive_entropy_conch,0.8,tier,a,312,246,0.7884615384615384
conch,deep_ensemble,de_predictive_entropy_conch,0.8,tier,c,8,5,0.625
conch,deep_ensemble,de_predictive_entropy_conch,0.8,tier_grouped,c,8,5,0.625
conch,deep_ensemble,de_predictive_entropy_conch,0.7,sex,female,134,94,0.7014925373134329
conch,deep_ensemble,de_predictive_entropy_conch,0.7,sex,male,186,115,0.6182795698924731
conch,deep_ensemble,de_predictive_entropy_conch,0.7,age,20-39,104,66,0.6346153846153846
conch,deep_ensemble,de_predictive_entropy_conch,0.7,age,40-54,120,75,0.625
conch,deep_ensemble,de_predictive_entropy_conch,0.7,age,55-69,82,60,0.7317073170731707
