predictor,family,signal,target_coverage,combo,thr,n,realised_coverage,realised_coverage_mutant,realised_coverage_wildtype,retained_prev,n_retained,metric,full,retained,d_full,d_full_lo,d_full_hi,d_full_p,d_full_mde,d_random,mde,p_raw,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
conch,predictive,aleatoric_conch,0.7,fully_local,0.2422492504119873,102,0.696078431372549,0.6122448979591837,0.7735849056603774,0.4225352112676056,71,ppv,0.7543859649122807,0.8620689655172413,0.10768300060496061,-0.002515723270440251,0.22091269841269837,0.058,0.1616538299150649,0.10924867561301577,0.11059413076923055,0.00999000999000999,0.0632095177549723,False,0.27473684210526317,False
conch,predictive,aleatoric_conch,0.7,fully_local,0.2422492504119873,102,0.696078431372549,0.6122448979591837,0.7735849056603774,0.4225352112676056,71,npv,0.8666666666666667,0.8809523809523809,0.014285714285714235,-0.011555461547438469,0.06789908272691629,0.732,0.05908703597660264,0.012419661293858741,0.09686983145399075,0.6573426573426573,1.0,False,1.0,False
conch,predictive,aleatoric_conch,0.7,fully_local,0.2422492504119873,102,0.696078431372549,0.6122448979591837,0.7735849056603774,0.4225352112676056,71,f1,0.8113207547169812,0.847457627118644,0.036136872401662856,-0.03551837315522509,0.1097705513181703,0.352,0.1075954929526124,0.03688169529591501,0.07876133859648667,0.18981018981018982,0.4872208083886916,False,0.8221208053691275,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,auroc,0.8521370812475934,0.8594871794871795,0.0073500982395861,-0.016126725977212753,0.031005299707602303,0.486,0.03286934552177255,0.007753623052346503,0.04354051443718911,0.5714285714285714,0.8880624326168881,False,0.824340425531915,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,auprc,0.8154976380708192,0.8130749103394895,-0.002422727731329677,-0.03362719772945913,0.02726518443892505,0.986,0.04226057026773139,-0.0034385960732182808,0.07499338391152356,0.9110889110889111,0.999000999000999,False,0.9979999999999999,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,bss,0.33021827258790615,0.3885946018284434,0.05837632924053726,-0.0022919369002589087,0.12673346979870037,0.056,0.09240800295591889,0.06094004743450304,0.12134499096011715,0.1878121878121878,0.39334379905808475,False,0.18213084112149533,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,balanced_accuracy,0.8130535232961109,0.8146153846153846,0.0015618613192737163,-0.03080455629276391,0.037989325093999285,0.94,0.04793571437600598,0.0017533783439873663,0.04099002834014224,0.8891108891108891,0.9462097535492031,False,0.9564912280701755,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,sensitivity,0.7959183673469388,0.7692307692307693,-0.026687598116169498,-0.07731857503693067,0.024999999999999915,0.302,0.07177435939077097,-0.026989014497298625,0.06097730435731709,0.22777222777222778,0.4164585414585414,False,0.4777090909090909,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,specificity,0.8301886792452831,0.86,0.02981132075471693,-0.004279891304347813,0.08419073162861979,0.264,0.06583841172348671,0.030495771185273357,0.05690573455155078,0.1798201798201798,0.23262982370789062,False,0.3168,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,brier,0.1671879225383706,0.1505164154064557,-0.016671507131914898,-0.03358076022113079,-0.0042024107720852475,0.002,0.021859908060844434,-0.017068710372522805,0.030517420501633235,0.15584415584415584,0.30990723562152134,False,0.027840000000000004,True
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,ece,0.13836233867971484,0.12422376915582278,-0.014138569523892058,-0.05178486630612021,0.008924854845657264,0.198,0.04341687837086836,-0.01753088716267387,0.03807590481223254,0.1998001998001998,0.3862803862803863,False,0.41014285714285714,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,cal_gap,-0.07815488641990315,-0.047834625179889845,0.030320261240013302,-0.006144134146313538,0.06676634699231761,0.104,0.0534305848357725,0.030312135971585538,0.04433544236221891,0.057942057942057944,0.5074925074925075,False,0.6100235294117646,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,accuracy,0.8137254901960784,0.8202247191011236,0.0064992289050451735,-0.022222222222222254,0.04052439580483353,0.732,0.04519956253980016,0.006730337078651671,0.0404329947764348,0.8891108891108891,1.0,False,0.8112611464968152,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,ppv,0.8125,0.8108108108108109,-0.0016891891891891442,-0.05752254240030598,0.06419022154316263,0.884,0.08872068368555268,-0.0014025529198723463,0.061207625604555,0.9170829170829171,0.9519052376195232,False,0.9487015384615386,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,npv,0.8148148148148148,0.8269230769230769,0.012108262108262102,-0.00894353518821602,0.04816993464052287,0.71,0.04502306319578436,0.012311256326960063,0.057581410959069185,0.4955044955044955,1.0,False,1.0,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,external,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,f1,0.8041237113402062,0.7894736842105263,-0.014650027129679888,-0.0630902978020083,0.029377850727455142,0.496,0.06416408456175204,-0.014413837097759452,0.04594284944529431,0.33766233766233766,0.6287329691585011,False,0.8923960396039604,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,auroc,0.8521370812475934,0.8594871794871795,0.0073500982395861,-0.017844533702294225,0.03245810325567026,0.49,0.03386907089715027,0.007502396801767897,0.04378454744027332,0.6033966033966034,0.8880624326168881,False,0.824340425531915,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,auprc,0.8154976380708192,0.8130749103394895,-0.002422727731329677,-0.03601711293184359,0.027419198292096172,0.982,0.04441100830667595,-0.0041377872487151635,0.0747253850251549,0.9630369630369631,0.999000999000999,False,0.9979999999999999,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,bss,0.33021827258790615,0.3885946018284434,0.05837632924053726,-0.0073773895615529515,0.1277814395684372,0.086,0.0959968421398451,0.05982094171209429,0.12124809268037662,0.1918081918081918,0.39334379905808475,False,0.2302153846153846,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,balanced_accuracy,0.8051597997689642,0.8074358974358974,0.0022760976669331523,-0.028758815984715677,0.0338829542016654,0.906,0.044662910714837314,0.0025586344332957367,0.041587994319417176,0.985014985014985,1.0,False,0.9432358208955225,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,sensitivity,0.8367346938775511,0.7948717948717948,-0.04186289900575624,-0.08577089228447463,-0.013248853479500314,0.0,0.05186895287748642,-0.04106946544189294,0.05619147896461442,0.011988011988011988,0.04908033143327261,True,0.0,True
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,specificity,0.7735849056603774,0.82,0.04641509433962254,0.0,0.09968256020887595,0.112,0.07198072113671294,0.0461867343084843,0.06170238702438152,0.06793206793206794,0.11151113037905491,False,0.15106976744186046,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,brier,0.1671879225383706,0.1505164154064557,-0.016671507131914898,-0.03299516071790486,-0.002982263701167547,0.008,0.021681139271361016,-0.01682830131544441,0.030475361973012375,0.15384615384615385,0.3094708759448644,False,0.0488421052631579,True
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,ece,0.13836233867971484,0.12422376915582278,-0.014138569523892058,-0.05013550983905589,0.0069702687490353354,0.172,0.04282688373002016,-0.017144041552715872,0.03811087390890992,0.21978021978021978,0.39424493032740454,False,0.39903999999999995,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,cal_gap,-0.07815488641990315,-0.047834625179889845,0.030320261240013302,-0.003096431614018899,0.06703233059088909,0.08,0.04937239869606142,0.03116614658853792,0.04146706475901208,0.03996003996003996,0.49664621093192524,False,0.6100235294117646,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,accuracy,0.803921568627451,0.8089887640449438,0.005067195417492787,-0.024574645997316163,0.03811364355126212,0.806,0.0433679593451892,0.005280898876404483,0.04126946896690224,0.985014985014985,1.0,False,0.8603926380368098,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,ppv,0.7735849056603774,0.775,0.0014150943396226134,-0.06412037037037037,0.06820558381457079,0.984,0.09140712833906675,0.0009589273938115372,0.059336332083379455,0.9590409590409591,0.9816066286654523,False,1.0,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,npv,0.8367346938775511,0.8367346938775511,0.0,0.0,0.0,1.0,0.0,0.0009440953472685809,0.056727928620252756,0.973026973026973,1.0,False,1.0,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,threshold_only_local,0.20217156410217285,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,f1,0.803921568627451,0.7848101265822784,-0.019111442045172566,-0.06958366375892142,0.023668260407611278,0.336,0.06325355377340482,-0.018774076964556796,0.04439847447067922,0.22977022977022976,0.533066933066933,False,0.7900540540540542,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,cutoff_only_local,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,auroc,0.8521370812475934,0.8594871794871795,0.0073500982395861,-0.015570876812286824,0.0332423834089941,0.518,0.03391659763314777,0.007612697275965918,0.042913713199476254,0.5954045954045954,0.8880624326168881,False,0.824340425531915,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,cutoff_only_local,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,auprc,0.8154976380708192,0.8130749103394895,-0.002422727731329677,-0.03658710615933335,0.02826525353241967,0.91,0.04513449683211148,-0.0019888040580866573,0.07139151731895957,0.913086913086913,0.999000999000999,False,0.9979999999999999,False
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,cutoff_only_local,0.28485018,102,0.8725490196078431,0.7959183673469388,0.9433962264150944,0.43820224719101125,89,bss,0.33021827258790615,0.3885946018284434,0.05837632924053726,-0.0036694469974482705,0.12227022208911736,0.07,0.09324944178474713,0.05910804177453072,0.12122092064886365,0.1958041958041958,0.39334379905808475,False,0.2047058823529412,False
