predictor,axis,contrast,metric,nA,nB,gap,lo,hi,p,mde,q_fdr,sig_fdr
conch,sex,female - male,accuracy,134,186,0.02696196437168985,-0.05040723800353067,0.10431712405713367,0.496,0.11296070805535896,0.7085714285714285,False
conch,sex,female - male,ppv,134,186,-0.007062733693394274,-0.11310095339700596,0.09529895021386545,0.89,0.1475475654137686,0.92,False
conch,sex,female - male,npv,134,186,0.055697496167603444,-0.060777777777777695,0.17047415906639185,0.315,0.1620943142375104,0.5625,False
conch,sex,female - male,f1,134,186,0.0191256830601092,-0.07174915245560341,0.10879761904761906,0.679,0.13094690894330543,0.7715909090909091,False
conch,age,20-39 - rest,auroc,104,213,0.03316677300417137,-0.09397886717518883,0.13470837218774842,0.577,0.16327896488672491,0.7758620689655172,False
conch,age,20-39 - rest,auprc,104,213,0.12918063567816385,0.03640039754423835,0.22712768850831067,0.007,0.13777790025120498,0.075,False
conch,age,20-39 - rest,bss,104,213,-0.25178652093001064,-0.7337722383774178,0.0638304433982904,0.125,0.5797603201840468,0.390625,False
conch,age,20-39 - rest,balanced_accuracy,104,213,-0.024955938370572417,-0.14027100852643545,0.08173110593370357,0.637,0.15907603394009712,0.8972222222222224,False
conch,age,20-39 - rest,sensitivity,104,213,0.11069418386491559,-0.01587762131879784,0.23218818796781818,0.089,0.18348171769315844,0.3055555555555556,False
conch,age,20-39 - rest,specificity,104,213,-0.16060606060606064,-0.36432753722367384,0.010146103896103716,0.067,0.26326596094982635,0.16071428571428573,False
conch,age,20-39 - rest,brier,104,213,0.006491519373981625,-0.044717091655656765,0.0642494584735298,0.813,0.07974246220448826,0.9396551724137931,False
conch,age,20-39 - rest,ece,104,213,0.07646770695580588,-3.062315025822516e-05,0.13941184350497252,0.051,0.100411466842773,0.10928571428571428,False
conch,age,20-39 - rest,cal_gap,104,213,-0.10142005361596762,-0.18029594875312185,-0.020430544638108405,0.012,0.11504595333912383,0.03272727272727272,True
conch,age,20-39 - rest,accuracy,104,213,-0.03223185265438788,-0.11884254243409166,0.04916598952690505,0.482,0.12317032859992816,0.7085714285714285,False
conch,age,20-39 - rest,ppv,104,213,0.06879606879606881,-0.02857719422386457,0.175359146062271,0.179,0.14360516473675639,0.4068181818181818,False
conch,age,20-39 - rest,npv,104,213,-0.29047619047619044,-0.4898872369999637,-0.10276603394981206,0.0,0.27414492647757,0.0,True
conch,age,20-39 - rest,f1,104,213,0.09294871794871795,0.004074506166499759,0.18824870007605954,0.039,0.1306442135545414,0.195,False
conch,age,40-54 - rest,auroc,120,197,-0.04107505070993911,-0.12581046818536049,0.039201267323922026,0.349,0.11807333066248527,0.6711538461538461,False
conch,age,40-54 - rest,auprc,120,197,-0.053436374010348175,-0.16629027234800015,0.04742599315746443,0.375,0.14994967125193967,0.64,False
conch,age,40-54 - rest,bss,120,197,-0.10362578575955228,-0.35560403775344196,0.12833977982432473,0.416,0.3433082233163363,0.6583333333333333,False
conch,age,40-54 - rest,balanced_accuracy,120,197,-0.015409622662951983,-0.0965669033718378,0.06412687859240003,0.742,0.11640713536914832,0.9275,False
conch,age,40-54 - rest,sensitivity,120,197,-0.018255578093306246,-0.157590744785978,0.11023730493094032,0.769,0.19181100831560507,0.8358695652173914,False
conch,age,40-54 - rest,specificity,120,197,-0.012563667232597608,-0.10627783469107328,0.07880539297658859,0.831,0.13014768486571485,0.9588461538461538,False
conch,age,40-54 - rest,brier,120,197,0.025895635775130404,-0.03127785750356169,0.08734105916877946,0.416,0.08505372921631045,0.5672727272727273,False
conch,age,40-54 - rest,ece,120,197,0.04007584870792534,-0.01671225080032583,0.12351035044677365,0.131,0.09930635410021581,0.262,False
conch,age,40-54 - rest,cal_gap,120,197,-0.021712982117504886,-0.10865309548391361,0.057646363627683335,0.566,0.11483381785825683,0.6791999999999999,False
conch,age,40-54 - rest,accuracy,120,197,-0.011125211505922161,-0.09810596446700501,0.07076988155668362,0.824,0.11775331697774143,0.9155555555555556,False
conch,age,40-54 - rest,ppv,120,197,-0.027759418374091238,-0.13713494805114687,0.0763809908691991,0.665,0.1510122385275137,0.8309523809523809,False
conch,age,40-54 - rest,npv,120,197,0.006038647342995196,-0.12459240333428662,0.12226744445342043,0.924,0.1723293105473585,0.9775246305418719,False
conch,age,40-54 - rest,f1,120,197,-0.022479465872520255,-0.12208089370857313,0.0694724202146104,0.643,0.13656191194147116,0.7654761904761904,False
conch,age,55-69 - rest,auroc,82,235,-0.08634074259074265,-0.26795784657046845,0.060524176498918635,0.302,0.237458844744583,0.6711538461538461,False
conch,age,55-69 - rest,auprc,82,235,-0.1780091855052276,-0.39275891604925334,-0.011706200514443682,0.035,0.27815697739017337,0.14583333333333334,False
conch,age,55-69 - rest,bss,82,235,-0.059843320812546175,-0.44318271335696147,0.24541181641249454,0.723,0.489789010348455,0.8556547619047619,False
conch,age,55-69 - rest,balanced_accuracy,82,235,-0.08728771228771226,-0.22573341944485328,0.05219860098863098,0.203,0.19804686093838375,0.7156250000000001,False
conch,age,55-69 - rest,sensitivity,82,235,-0.25,-0.5158548880545125,0.011410687239681935,0.067,0.38003244568037037,0.3055555555555556,False
conch,age,55-69 - rest,specificity,82,235,0.07542457542457548,-0.0036240315679926137,0.15791057912339374,0.073,0.11794984896022317,0.16071428571428573,False
conch,age,55-69 - rest,brier,82,235,-0.03724531477239361,-0.09374881521142706,0.026544058030090863,0.232,0.08589611420446537,0.464,False
conch,age,55-69 - rest,ece,82,235,-0.045218018015081046,-0.10309649232193561,0.03025401868051899,0.211,0.09318302478729616,0.3847058823529412,False
conch,age,55-69 - rest,cal_gap,82,235,0.1444458115298096,0.05788655960538723,0.22758295810425824,0.002,0.12000436205638991,0.006,True
conch,age,55-69 - rest,accuracy,82,235,0.03975090814737936,-0.049870264660093366,0.11774779449922157,0.349,0.11998785667160031,0.5816666666666666,False
conch,age,55-69 - rest,ppv,82,235,-0.1640625,-0.43485520209483813,0.07876440716649533,0.173,0.37081784139928886,0.4068181818181818,False
conch,age,55-69 - rest,npv,82,235,0.1523364485981309,0.04270926818104013,0.25962542625745944,0.009,0.15684516789617228,0.027777777777777776,True
conch,age,55-69 - rest,f1,82,235,-0.21743697478991597,-0.4780598551869746,-0.024388769452880075,0.028,0.32375343665179274,0.195,False
conch,age,70+ - rest,auroc,11,306,-0.14692307692307693,-0.5853191645445498,0.1296462416213006,0.5972906403940886,0.5947710121336922,0.7758620689655172,False
conch,age,70+ - rest,auprc,11,306,-0.058367308953090835,-0.3982028795945275,0.13240768950425236,0.8029556650246306,0.3891512509962661,0.9704545454545453,False
conch,age,70+ - rest,bss,11,306,0.007943700202274417,-0.8480614109323414,0.5060847166840791,0.9519704433497537,1.0118025348768949,0.9519704433497538,False
conch,age,70+ - rest,balanced_accuracy,11,306,0.02743589743589747,-0.19740748737905622,0.18174327806961993,0.791871921182266,0.3013515961130199,0.9427046680741262,False
conch,age,70+ - rest,sensitivity,11,306,-0.038461538461538436,-0.4878909439817083,0.2570997807017544,0.8768472906403941,0.5998914379768367,0.9133825944170773,False
conch,age,70+ - rest,specificity,11,306,0.09333333333333338,0.0482758620689655,0.14108974358974363,0.0,0.06672638860915985,0.0,True
conch,age,70+ - rest,brier,11,306,-0.011365344988858828,-0.1277874219293103,0.18382940267846387,0.9014778325123153,0.2373330818023676,0.9396551724137931,False
conch,age,70+ - rest,ece,11,306,0.0746166830718079,-0.04466273483323749,0.2771477116477014,0.24876847290640394,0.22762952343851212,0.40650000000000003,False
conch,age,70+ - rest,cal_gap,11,306,-0.006987184557545878,-0.24263281070311707,0.13201941300819703,0.8399014778325123,0.2651596386668586,0.8399014778325123,False
conch,age,70+ - rest,accuracy,11,306,0.06268568033273914,-0.14012923351158646,0.18300653594771243,0.5899014778325123,0.2521658836164823,0.7694367102163204,False
conch,age,70+ - rest,ppv,11,306,0.1021897810218978,0.0519071669071669,0.15602836879432624,0.009852216748768473,0.20992404092712758,0.125,False
conch,age,70+ - rest,npv,11,306,0.07026627218934911,-0.21223566508078107,0.23848440803382662,0.6330049261083743,0.344208642209113,0.8329012185636504,False
conch,age,70+ - rest,f1,11,306,0.017552413456850324,-0.361238591916558,0.19384855719633332,0.8903940886699507,0.4462861633866865,0.915,False
conch,tier,a - c,specificity,312,8,0.6970198675496688,0.4032730319615547,0.9602842521716694,0.0,0.432336276393037,0.0,True
conch,tier,a - c,brier,312,8,-0.3345307202237405,-0.5828977849288678,-0.09662258868846817,0.005,0.35995464422580437,0.0375,True
conch,tier,a - c,ece,312,8,-0.46539780367703104,-0.6922763532114541,-0.21057269627053762,0.0,0.3524720223171055,0.0,True
conch,tier,a - c,cal_gap,312,8,-0.6837668692639385,-0.9127333947240214,-0.4340193627522333,0.0,0.3534739806779778,0.0,True
conch,tier,a - c,accuracy,312,8,0.6153846153846154,0.3196314102564103,0.8782051282051282,0.0,0.43207926541612945,0.0,True
hoptimus,sex,female - male,auroc,134,186,0.045897490526385476,-0.025295267107484518,0.1156636551308114,0.189,0.10004903394535003,0.6711538461538461,False
hoptimus,sex,female - male,auprc,134,186,-0.022220937521863604,-0.12804442581982198,0.08352831362991045,0.854,0.1551536827739595,0.9704545454545453,False
hoptimus,sex,female - male,bss,134,186,0.19837890770939182,-0.05472430060558971,0.44830796785734234,0.125,0.36300033550478594,0.390625,False
hoptimus,sex,female - male,balanced_accuracy,134,186,0.08084610444142915,0.0006833287767103907,0.15594996454599494,0.049,0.11106210543521186,0.7156250000000001,False
hoptimus,sex,female - male,sensitivity,134,186,0.10647551546391754,-0.024744925697716608,0.23497559031014129,0.11,0.1841271042783641,0.3055555555555556,False
hoptimus,sex,female - male,specificity,134,186,0.05521669341894064,-0.03219906637353737,0.1464936008482198,0.207,0.12450741775511681,0.3105,False
hoptimus,sex,female - male,brier,134,186,-0.049521881821336045,-0.10927736448543132,0.013139927682577886,0.119,0.08908799413959285,0.2975,False
hoptimus,sex,female - male,ece,134,186,-0.039576532674319334,-0.1089353737551313,0.030996482814241545,0.271,0.10260224478562563,0.40650000000000003,False
hoptimus,sex,female - male,cal_gap,134,186,0.05041566757385724,-0.026692074167576855,0.12802428416402217,0.218,0.11302557763802575,0.37105263157894736,False
hoptimus,sex,female - male,accuracy,134,186,0.08698443267533307,0.0066381800674048955,0.16522227571818326,0.035,0.11302242192747146,0.13125,False
hoptimus,sex,female - male,ppv,134,186,0.054824561403508776,-0.04472578963413847,0.1594753424073652,0.279,0.14372114543499112,0.58125,False
hoptimus,sex,female - male,npv,134,186,0.11185983827493262,-0.005582517543099693,0.22565455127771009,0.061,0.1657698987615942,0.13863636363636364,False
hoptimus,sex,female - male,f1,134,186,0.08507260587383847,-0.00809895966516601,0.1744774219723182,0.078,0.13076316348465503,0.2785714285714286,False
hoptimus,age,20-39 - rest,auroc,104,213,0.004856149571596635,-0.10934465446331394,0.10822788377898859,0.924,0.15323180052692884,0.924,False
hoptimus,age,20-39 - rest,auprc,104,213,0.12208763642777876,0.03660694340520633,0.21788743835471167,0.005,0.13027768367106415,0.075,False
hoptimus,age,20-39 - rest,bss,104,213,-0.4982177014872521,-1.1806815331303195,-0.10173768641420157,0.014,0.7803592566358358,0.275,False
hoptimus,age,20-39 - rest,balanced_accuracy,104,213,0.027116063701429605,-0.0870087468922591,0.13053158442062954,0.646,0.1561347565121141,0.8972222222222224,False
hoptimus,age,20-39 - rest,sensitivity,104,213,0.1619762351469668,0.026552881904893366,0.2908532674792837,0.023,0.19169816014744448,0.2875,False
hoptimus,age,20-39 - rest,specificity,104,213,-0.1077441077441077,-0.2980994152046784,0.049801587301587236,0.188,0.24830293945399343,0.29684210526315785,False
hoptimus,age,20-39 - rest,brier,104,213,0.04467057818145728,-0.021201483280388213,0.11562564659842149,0.187,0.09619760174364514,0.40071428571428575,False
hoptimus,age,20-39 - rest,ece,104,213,0.0954701821418558,0.020460274178829747,0.18141052664261312,0.012,0.11434552487773027,0.03272727272727272,True
hoptimus,age,20-39 - rest,cal_gap,104,213,-0.09077662205216452,-0.1819787763076933,-0.003180538403259939,0.047,0.12762584003917893,0.094,False
hoptimus,age,20-39 - rest,accuracy,104,213,0.000857710364752684,-0.08992416034669548,0.0867190321415674,0.972,0.12700289071819099,0.972,False
hoptimus,age,20-39 - rest,ppv,104,213,0.10393563818221352,0.006054778554778592,0.21282270207585777,0.04,0.14962376423716023,0.3333333333333333,False
hoptimus,age,20-39 - rest,npv,104,213,-0.25268817204301075,-0.45315074791030546,-0.0667379251260831,0.01,0.27327558378066014,0.027777777777777776,True
hoptimus,age,20-39 - rest,f1,104,213,0.1385495309997713,0.04541294890284194,0.23774247452212335,0.005,0.1381922465257719,0.0625,False
hoptimus,age,40-54 - rest,auroc,120,197,-0.028197194222223776,-0.10849259651144876,0.04713864079086478,0.489,0.1099790893308991,0.7758620689655172,False
hoptimus,age,40-54 - rest,auprc,120,197,-0.0566057975569112,-0.16332919978431737,0.04239816357087067,0.36,0.14914532175935405,0.64,False
hoptimus,age,40-54 - rest,bss,120,197,-0.09430336155552199,-0.3689308207262256,0.1726317158614065,0.474,0.3790991323990868,0.6583333333333333,False
hoptimus,age,40-54 - rest,balanced_accuracy,120,197,-0.049892381283641596,-0.13194538513648493,0.03589546331680019,0.261,0.11926582801276764,0.7250000000000001,False
hoptimus,age,40-54 - rest,sensitivity,120,197,-0.08722109533468558,-0.22704667269092343,0.0507167004732928,0.22,0.19857457595287537,0.3762999452654625,False
hoptimus,age,40-54 - rest,specificity,120,197,-0.012563667232597608,-0.10075588207234981,0.07774936748893103,0.83,0.12961636928828185,0.9588461538461538,False
hoptimus,age,40-54 - rest,brier,120,197,0.02357122827305297,-0.04390550045764435,0.0886744712359738,0.476,0.09403678125309246,0.595,False
hoptimus,age,40-54 - rest,ece,120,197,0.0334538476718724,-0.04244502855709076,0.11496940707540895,0.34,0.11035070793372619,0.44347826086956527,False
hoptimus,age,40-54 - rest,cal_gap,120,197,-0.036021618547320666,-0.12112016332880271,0.04600708039311542,0.363,0.11750102860878968,0.5185714285714286,False
hoptimus,age,40-54 - rest,accuracy,120,197,-0.04445854483925549,-0.1267343485617597,0.04289340101522843,0.318,0.12160319004906492,0.5788235294117647,False
hoptimus,age,40-54 - rest,ppv,120,197,-0.03777193401864687,-0.14887987012987008,0.06833761885647549,0.533,0.15753814582798617,0.7828947368421053,False
hoptimus,age,40-54 - rest,npv,120,197,-0.038432267884322746,-0.16246790382819792,0.08350292577266252,0.535,0.1740294586581493,0.7430555555555556,False
hoptimus,age,40-54 - rest,f1,120,197,-0.06721515831463476,-0.17588749335459855,0.030286330444149686,0.203,0.14588024477917494,0.3383333333333333,False
hoptimus,age,55-69 - rest,auroc,82,235,-0.09486346986346994,-0.2700459288365028,0.055796981159249366,0.279,0.2363389583502585,0.6711538461538461,False
hoptimus,age,55-69 - rest,auprc,82,235,-0.174415904780029,-0.3888252696517108,0.0036263219549597585,0.056,0.28123354476299767,0.17500000000000002,False
hoptimus,age,55-69 - rest,bss,82,235,0.13778161094923103,-0.2310052100152135,0.48243943569689823,0.454,0.507677290355365,0.6583333333333333,False
hoptimus,age,55-69 - rest,balanced_accuracy,82,235,-0.051746864246864144,-0.18925252132007803,0.08111278756480098,0.474,0.19439874564704304,0.8972222222222224,False
hoptimus,age,55-69 - rest,sensitivity,82,235,-0.1527777777777778,-0.42540020263424516,0.0996829710144925,0.261,0.3736511514053894,0.3762999452654625,False
hoptimus,age,55-69 - rest,specificity,82,235,0.04928404928404939,-0.03763344811608855,0.13326780610080152,0.238,0.12160978760806931,0.33999999999999997,False
hoptimus,age,55-69 - rest,brier,82,235,-0.07974802159471565,-0.14313522295591868,-0.0121452903974716,0.023,0.09447020761910518,0.08625,False
hoptimus,age,55-69 - rest,ece,82,235,-0.10755482953412483,-0.17174247997100545,-0.02428791163078848,0.006,0.1042546944357645,0.025714285714285714,True
hoptimus,age,55-69 - rest,cal_gap,82,235,0.15125600795109806,0.06836987926206774,0.23443644879054956,0.001,0.11944777153379146,0.003333333333333333,True
hoptimus,age,55-69 - rest,accuracy,82,235,0.056772184743124066,-0.030940581214322842,0.13903866113129199,0.179,0.12127571560157702,0.41307692307692306,False
hoptimus,age,55-69 - rest,ppv,82,235,-0.20374707259953162,-0.47917400396213955,0.020371397206259318,0.094,0.35203031287960396,0.4068181818181818,False
hoptimus,age,55-69 - rest,npv,82,235,0.19495054659031752,0.0859941192568311,0.3015968801313629,0.001,0.1557342533877309,0.0035714285714285718,True
hoptimus,age,55-69 - rest,f1,82,235,-0.17543859649122806,-0.41754673657975544,0.0075131516021042025,0.063,0.30267936063736695,0.2625,False
hoptimus,age,70+ - rest,auroc,11,306,-0.1497863247863248,-0.5861457330676535,0.126349678763386,0.5985221674876847,0.5948857574212678,0.7758620689655172,False
hoptimus,age,70+ - rest,auprc,11,306,-0.05973701865296033,-0.394305723510995,0.13033870124320704,0.7992610837438424,0.38910423879937006,0.9704545454545453,False
hoptimus,age,70+ - rest,bss,11,306,-0.03554097056972394,-0.9697635599848764,0.6283691294142728,0.7967980295566502,1.139645156894108,0.8556547619047619,False
hoptimus,age,70+ - rest,balanced_accuracy,11,306,-0.08794871794871795,-0.34401964930589474,0.16781260085830574,0.5123152709359606,0.3561797019388656,0.8972222222222224,False
hoptimus,age,70+ - rest,sensitivity,11,306,-0.2692307692307693,-0.7822020941438103,0.24528301886792447,0.270935960591133,0.7053408554082417,0.3762999452654625,False
hoptimus,age,70+ - rest,specificity,11,306,0.09333333333333338,0.049082884328786006,0.1439080553738827,0.0,0.0669572056681779,0.0,True
hoptimus,age,70+ - rest,brier,11,306,-0.0029774533928829394,-0.15664635738750002,0.22664540477245668,0.9396551724137931,0.2693197623097102,0.9396551724137931,False
