patient,ood_topk_hoptimus,ood_attention_hoptimus,ood_mean_hoptimus
IN Brain-0162,106.70727081298828,92.00354919433593,86.63419342041016
IN Brain-0288,112.76961517333984,91.65664825439453,86.565966796875
IN Brain-0352,115.83116607666015,95.47201232910156,94.00808868408203
IN Brain-0038,107.51183471679687,86.56506805419922,82.22186431884765
IN Brain-0176,98.53780975341797,77.15311279296876,76.89567413330079
IN Brain-0235,101.60846252441407,83.53392028808594,76.84259185791015
IN Brain-0158,106.28700408935546,89.30758972167969,82.90758361816407
IN Brain-0213,104.3069061279297,86.86376342773437,83.60205383300782
IN Brain-0084,109.88341522216797,90.43953857421874,85.79649963378907
IN Brain-0326,111.38881225585938,95.00111694335938,85.61693115234375
IN Brain-0271,111.68638610839844,90.36252136230469,88.01568298339843
IN Brain-0245,103.67984619140626,84.60623779296876,81.21959075927734
IN Brain-0067,108.27254028320313,89.69602813720704,81.26199035644531
IN Brain-0359,113.75460510253906,88.9345199584961,87.18888549804687
IN Brain-0351,104.83083038330078,93.5987762451172,83.07105255126953
IN Brain-0259,110.911279296875,91.70526885986328,85.70937957763672
IN Brain-0058,103.15723724365235,87.81808013916016,78.61878204345703
IN Brain-0108,102.43484039306641,78.75437927246094,74.9858901977539
IN Brain-0232,110.24836578369141,87.89751434326172,86.53156433105468
IN Brain-0030,107.31066284179687,91.38740539550781,86.46860198974609
IN Brain-0121,106.518896484375,84.78162078857422,82.65050048828125
IN Brain-0274,103.23120422363282,80.02571716308594,78.2018325805664
IN Brain-0025,96.24256439208985,78.48074035644531,74.99161376953126
IN Brain-0147,108.23280334472656,89.23724822998047,86.21473846435546
IN Brain-0210,109.19356842041016,89.90679016113282,83.38538513183593
IN Brain-0178,107.5826416015625,92.16906280517578,86.20047302246094
IN Brain-0160,113.22295532226562,100.20752258300782,88.7978286743164
IN Brain-0140,112.3972396850586,96.63526458740235,88.48889617919922
IN Brain-0318,108.49825744628906,93.71734466552735,82.53319549560547
IN Brain-0097,104.0166259765625,87.26422424316407,79.80186004638672
IN Brain-0261,108.18750457763672,84.65303649902344,84.09393615722657
IN Brain-0099,106.76446228027343,87.18500671386718,82.37030334472657
IN Brain-0287,120.75309143066406,104.87874908447266,89.21263275146484
IN Brain-0215,107.39287872314453,95.33381042480468,85.59738311767578
IN Brain-0330,110.62224578857422,88.3883056640625,81.10313110351562
IN Brain-0243,112.58571319580078,91.0772918701172,89.99775695800781
IN Brain-0191,110.067626953125,91.26359405517579,85.26614379882812
IN Brain-0200,104.9051498413086,82.47848968505859,81.8970458984375
IN Brain-0294,110.42969207763672,90.39859924316406,83.69394989013672
IN Brain-0152,103.32189483642578,79.49972686767578,79.94823608398437
IN Brain-0283,107.87825469970703,91.7465835571289,83.47603912353516
IN Brain-0062,102.70017852783204,81.70334930419922,78.43478851318359
IN Brain-0034,103.66822967529296,86.76457061767579,79.43055877685546
IN Brain-0124,100.05509643554687,77.6954360961914,75.78639068603516
IN Brain-0076,96.62249298095703,78.31085662841797,74.79657897949218
IN Brain-0174,104.50387573242188,89.41477508544922,82.36649627685547
IN Brain-0194,111.57562866210938,93.23491973876953,86.98209381103516
IN Brain-0169,115.9886688232422,98.05004272460937,89.40384674072266
IN Brain-0325,104.24047546386718,84.33709106445312,83.28437652587891
IN Brain-0334,102.45800323486328,84.35498352050782,81.16007080078126
IN Brain-0202,116.75153198242188,94.25370025634766,88.53923034667969
IN Brain-0263,106.75903930664063,89.88259887695312,80.16103973388672
IN Brain-0198,111.84890747070312,93.99402160644532,90.7782211303711
IN Brain-0175,108.71424713134766,87.77656860351563,83.59422454833984
IN Brain-0280,107.23063201904297,91.72099456787109,83.0378921508789
IN Brain-0090,107.76947631835938,94.5659896850586,83.08905487060547
IN Brain-0199,106.79924621582032,93.14146118164062,83.88539276123046
IN Brain-0089,106.42101593017578,84.87350616455078,81.68607177734376
