fold,n_patches,maha_mean,maha_std,maha_median,maha_p90,maha_p95,maha_p99,maha_top5_mean,mahapc_mean,mahapc_p95,mahapc_top5_mean,mahaenergy_mean,mahaenergy_p95,mahaenergy_top5_mean,featnorm_mean,featnorm_p95,featnorm_top5_mean,case_id,encoder,dataset,maha_status,maha_error
4,3862,76.21603790084654,22.025406544496256,73.7112801611838,104.81586057221904,114.84337656221828,137.64719575927217,129.52938114645784,72.6511061495939,109.7953548161757,123.59637291692677,84.04582065209348,103.30560561919087,110.72582422127496,29.381894096323148,32.625,33.375805412371136,TCGA-14-1034,hoptimus,tcga,ok,
0,2948,70.54627735161074,20.96751203616933,68.83424997565265,96.9126388152006,107.3274598206695,131.32274474416388,121.32268535523414,67.80915215871839,103.58112534894724,117.28421993496355,81.45969507158625,99.88928274093462,106.90064261137336,34.57304210481683,36.40625,36.733741554054056,TCGA-06-0171,hoptimus,tcga,ok,
1,2948,62.571537166705596,18.384094419967187,59.88176389081686,86.04748229243685,96.29296184207499,120.87988406738184,111.0386437248276,60.4814610761992,91.97973371284432,105.76903641084196,77.33726813392887,94.24961488514853,101.63258521931446,34.57304210481683,36.40625,36.733741554054056,TCGA-06-0171,hoptimus,tcga,ok,
2,2948,74.25496290849406,22.467894268339503,71.87171068419623,103.63169221203903,115.67236363508253,137.0636293527995,128.5874896875686,71.334862573596,110.64160085891521,123.09289541062248,83.10224399257272,103.90977033493903,110.2919742968233,34.57304210481683,36.40625,36.733741554054056,TCGA-06-0171,hoptimus,tcga,ok,
3,2948,62.97395566510986,19.474286083952187,60.48934573399967,88.74661488158283,97.87623381121848,124.79956039573595,113.49104917107222,61.31558026591683,95.22373975453279,110.00058895716164,77.45534264902473,95.1552942263317,102.92694292964212,34.57304210481683,36.40625,36.733741554054056,TCGA-06-0171,hoptimus,tcga,ok,
4,2948,64.17932997089402,17.58817755180164,62.430677680296114,87.62037805558069,95.54186372875967,114.24110493870756,106.76026783672306,60.961416905945526,90.40422830492012,101.08127225076522,77.97174633396943,93.69519971333321,99.2914603710397,34.57304210481683,36.40625,36.733741554054056,TCGA-06-0171,hoptimus,tcga,ok,
0,2627,81.77502978804655,22.498404610313102,80.08728975645042,111.94316675031686,122.9980455588016,142.18078814055565,134.7632832409904,77.91085720126685,117.54114530915562,129.44265168904434,87.18272541809793,107.82868560167431,113.6918229619533,30.69476232394366,34.125,34.946969696969695,TCGA-12-0619,hoptimus,tcga,ok,
1,2627,82.00381102948712,25.005502982440557,79.49181886618132,112.46183111687422,126.79359247278981,157.02710848351254,146.2449666430873,78.0519680360483,121.163609465751,141.53709398505373,87.14808590962666,109.47840664154916,119.31018987442575,30.69476232394366,34.125,34.946969696969695,TCGA-12-0619,hoptimus,tcga,ok,
2,2627,83.24741540358104,26.431842059714032,80.6296648583346,117.10264872847573,130.76138703423547,162.96442219098128,149.75838333689273,78.55363068086143,123.40082368516727,142.34465228804632,87.71875361989092,111.48983015907694,120.95792301461687,30.69476232394366,34.125,34.946969696969695,TCGA-12-0619,hoptimus,tcga,ok,
3,2627,81.3945519699169,24.866452540727586,78.95169109438216,111.4406672413014,126.15446052158862,160.95476306999169,145.93056407091942,77.1732889275663,119.82405991412323,139.32301608740016,86.73167303142718,109.1857670693996,119.03089202268232,30.69476232394366,34.125,34.946969696969695,TCGA-12-0619,hoptimus,tcga,ok,
