id	filename	md5	size	state
9c41f582-9d6a-4b81-8792-35b17b8f2746	TCGA-S9-A6WD-01A-01-TS1.F0F34684-3C89-4149-922A-107DF03B3D0F.svs	16b533498c447fe64494be4fd057aab0	432359011	released
c0292bb7-7eae-4572-883a-732e1873932d	TCGA-HT-A5RA-01A-01-TS1.A9AAB7F6-D71A-4856-B727-9E0C343D8E85.svs	4334e5a715ed9d1fc49473994aa45734	429290179	released
c04d2620-115c-493d-bc88-4cccbb97073c	TCGA-HT-8106-01A-01-BS1.a1aea132-de7f-487d-bd1e-4cd452317287.svs	aa27cbaf4ebbac7486bd8ec0a926e55d	425082669	released
71ea7cf6-b2eb-4bd6-829a-9427cd0a7bba	TCGA-HT-8015-01B-01-TS1.42E89927-E2F9-472A-9E2A-CB0A0195A197.svs	8ea931d2bb5f7abdfca03f62c8039b86	421748437	released
93375bcc-a146-46fb-b5ac-9509a3b54fc5	TCGA-HT-8010-01A-01-BS1.65aa481a-9c8b-42b7-8eae-463c9e87d20d.svs	0aeb50898459148ca1e333b17467cee4	421438513	released
a53f1db8-cafe-4977-a632-d3dea7215ee0	TCGA-WY-A85B-01A-01-TSA.2787F679-7AE6-4A07-9AA1-CB1DD74AB924.svs	56a656582b3d1e3ecad954679d4e0855	421218597	released
a592045d-dab8-4042-a263-978f64de7c5f	TCGA-HT-7611-01A-01-BS1.12d5be3d-874d-4bd9-827b-b9546175e706.svs	3dc8ec30e6870ecc10b374718573a9ca	419664485	released
ee7682cc-4c09-4d3c-a512-0537c64aebe4	TCGA-HT-7680-01A-01-BS1.69c98861-341f-45c4-926d-97642896f39b.svs	7ab4600dc84208fdf15060d89c749dde	418439101	released
52787b14-48d7-42b7-89a1-648be3c6b086	TCGA-02-0085-01A-01-BS1.68151779-d8a9-495b-bd8c-780e46d02277.svs	dce0d8e44403f97b8b83b301af176585	412508809	released
00dd02b5-d04c-44ce-84bb-322e41daba5b	TCGA-02-0115-01A-01-BS1.fe42d30c-005e-4a57-a25e-b773f45af575.svs	85ecc500176357a947e023197ea3d790	411450259	released
9e111a13-f403-492b-bc00-4a53a80902d4	TCGA-DH-A7UT-01A-01-TS1.76EB3CB7-F582-4DFA-96F0-104284A1939D.svs	f4df3902424f0a83474eb3308c01c438	405643333	released
bf18efca-f792-4b4c-b5c7-bbcfa46c6621	TCGA-TQ-A7RQ-01A-01-TSA.DB122656-E268-43FF-8982-EB8D7F761DF2.svs	af9d074ce226050c8ec21065819d76bc	404346171	released
63360158-c1d8-43c8-8038-4ca248c117d5	TCGA-DB-A4XC-01A-01-TSA.1D8A8296-7672-488B-B5AA-B28CE21330EB.svs	46a56b6c222988b67d3b61622ef0dd0a	404049309	released
bc674982-3ddf-41f0-b228-e2728d73765b	TCGA-TQ-A7RO-01A-01-TS1.68B9ECB5-C538-4EB3-A68E-8CB869E270AD.svs	056bea5f03b6e20c73a1ed8952fc99a9	397041759	released
d831a800-2f75-4434-b9df-05a9cd06cc3d	TCGA-02-0068-01A-01-BS1.9d12b08a-a7c6-4608-8fe0-1a05791125c8.svs	055c155c15fe0893ee9ec5bb7762f0cb	393219513	released
