dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a195bb02-357f-11eb-baf6-001a7dda7111,2773.0,32.453761720158674
ebrains,hoptimus,a195bb05-357f-11eb-ab71-001a7dda7111,764.0,31.912262761780102
ebrains,hoptimus,a195bb0a-357f-11eb-b2b4-001a7dda7111,721.0,32.78144504160888
ebrains,hoptimus,a195bb11-357f-11eb-b4f1-001a7dda7111,4987.0,34.60286118909164
ebrains,hoptimus,a195bb18-357f-11eb-8a27-001a7dda7111,1372.0,33.46209912536443
ebrains,hoptimus,a195bb19-357f-11eb-a220-001a7dda7111,553.0,33.3098722875226
ebrains,hoptimus,a195bb20-357f-11eb-a78e-001a7dda7111,469.0,31.69086487206823
ebrains,hoptimus,a195bb21-357f-11eb-b912-001a7dda7111,83.0,33.00903614457831
ebrains,hoptimus,a195bb27-357f-11eb-93cc-001a7dda7111,5777.0,34.12797516011771
ebrains,hoptimus,a195bb2b-357f-11eb-9fcc-001a7dda7111,2530.0,34.929662796442685
ebrains,hoptimus,a195bb31-357f-11eb-b01c-001a7dda7111,2833.0,34.61855255030004
ebrains,hoptimus,a195bb32-357f-11eb-b275-001a7dda7111,4514.0,33.32616927891006
ebrains,hoptimus,a195bb35-357f-11eb-8ea2-001a7dda7111,3124.0,31.151588508322664
ebrains,hoptimus,a195bb36-357f-11eb-9bc5-001a7dda7111,4425.0,33.36531779661017
ebrains,hoptimus,a195bb3e-357f-11eb-820b-001a7dda7111,657.0,32.43507420091324
ebrains,hoptimus,a195bb4a-357f-11eb-adce-001a7dda7111,2374.0,34.77826848146588
ebrains,hoptimus,a195bb4c-357f-11eb-8ade-001a7dda7111,2589.0,31.376955388180765
ebrains,hoptimus,a195bb4d-357f-11eb-907d-001a7dda7111,3652.0,32.507269133351585
ebrains,hoptimus,a195bb52-357f-11eb-93f8-001a7dda7111,3373.0,29.91848410168989
ebrains,hoptimus,a195e1cf-357f-11eb-a906-001a7dda7111,2847.0,31.033247716894977
ebrains,hoptimus,a195e1d1-357f-11eb-8ab1-001a7dda7111,167.0,32.18216691616767
ebrains,hoptimus,a195e1d3-357f-11eb-86d9-001a7dda7111,225.0,34.07618055555555
ebrains,hoptimus,a195e1d4-357f-11eb-ae49-001a7dda7111,127.0,33.40206692913386
ebrains,hoptimus,a195e1db-357f-11eb-82c7-001a7dda7111,252.0,32.86898561507937
ebrains,hoptimus,a195e1df-357f-11eb-a578-001a7dda7111,4498.0,32.90390868163628
ebrains,hoptimus,a195e1e1-357f-11eb-92d2-001a7dda7111,3044.0,34.21097343134034
ebrains,hoptimus,a195e1e6-357f-11eb-9824-001a7dda7111,81.0,33.15065586419753
ebrains,hoptimus,a195e1ef-357f-11eb-b7e2-001a7dda7111,2946.0,33.86874681771894
ebrains,hoptimus,a195e1f0-357f-11eb-bff5-001a7dda7111,1621.0,33.653011258482415
ebrains,hoptimus,a195e1f1-357f-11eb-8f80-001a7dda7111,1669.0,31.97840211204314
ebrains,hoptimus,a195e1f5-357f-11eb-815e-001a7dda7111,484.0,31.78667355371901
ebrains,hoptimus,a195e1f8-357f-11eb-b29e-001a7dda7111,2579.0,34.11688760178364
ebrains,hoptimus,a195e1fd-357f-11eb-9723-001a7dda7111,4417.0,34.38098893479737
ebrains,hoptimus,a195e202-357f-11eb-b1aa-001a7dda7111,1832.0,33.34725539028384
ebrains,hoptimus,a195e207-357f-11eb-8fb6-001a7dda7111,865.0,32.43430274566474
ebrains,hoptimus,a195e209-357f-11eb-a95d-001a7dda7111,2369.0,33.212207154917685
