encoder,detector,variable,test,n_levels,levels,n_total,p_raw,rank_biserial,family,q
uni2,maha,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,1.3143973589001366e-10,,F5,3.9431920767004096e-10
conch,featnorm,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,1.4559575094210597e-10,,F5,4.2269734144482375e-10
conch,featnorm,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,2.055698617081094e-10,,F5,5.606450773857529e-10
uni2,flow_energy,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,2.008372771767862e-10,,F5,5.606450773857529e-10
uni2,flow_ood,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,2.8603723767468263e-10,,F5,7.571573938447482e-10
conch,maha,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,9.101262342829127e-10,0.3077026301663983,F5,2.3403246024417754e-09
conch,flow_ood,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,6.983917290118338e-09,0.2909669503872403,F5,1.7459793225295844e-08
conch,flow_energy,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,3.649181130351705e-08,0.276685070163331,F5,8.87638653328793e-08
hoptimus,flow_energy,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,8.204048656197333e-08,,F5,1.9430641554151578e-07
hoptimus,maha,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,9.087654554760039e-08,,F5,2.0971510510984702e-07
hoptimus,flow_ood,site,kruskal,15,"['MD Anderson Cancer Center', 'Henry Ford Hospital', 'UCSF', 'Duke', 'Emory University', 'Mayo Clinic - Rochester', 'Case Western', 'University of Florida', 'Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta', 'Thomas Jefferson University', 'Case Western - St Joes', 'Fondazione-Besta', 'Dept of Neurosurgery at University of Heidelberg', 'The University of New South Wales', 'University of Sao Paulo']",695,1.0659520366437766e-07,,F5,2.3983920824484974e-07
hoptimus,flow_ood,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,1.284412722512268e-07,,F5,2.819442561612296e-07
hoptimus,flow_energy,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,1.9325722413283037e-07,,F5,4.141226231417794e-07
hoptimus,maha,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,3.3336720934026866e-07,,F5,6.977453218749809e-07
uni2,flow_ood,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,6.734698826838565e-06,,F5,1.3775520327624338e-05
uni2,flow_energy,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,1.788604589730339e-05,,F5,3.577209179460678e-05
hoptimus,maha,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,1.9382259155874476e-05,0.21463077984817125,F5,3.792181139192832e-05
uni2,flow_ood,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,7.405201299415826e-05,,F5,0.00014180172701009028
uni2,maha,model,kruskal,11,"['SS1302', 'SS7054', 'SS1258', 'SS1763CNTLR', 'PATH-MCLEN001MS', 'R0228416', 'SS1534CNTLR', 'SS1436CNTLR', 'SS1764CNTLR', 'R0251491', 'SS7168CNTLR']",738,8.509879840851216e-05,,F5,0.00015956024701596028
uni2,maha,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,9.446922812222003e-05,,F5,0.00017351490879591433
uni2,flow_energy,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.00017342314095204048,,F5,0.00031216165371367286
hoptimus,flow_ood,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.0006083744490456555,0.1722260562840272,F5,0.001073601968904098
