variable,encoder,detector,estimand,n_levels,observed_heterogeneity,p_raw,n_perm_valid,family,q
idh_status,conch,maha,both_sides,2,0.06136201399189273,0.0033222591362126247,300,F3,0.014238253440911248
idh_status,conch,n_patches,both_sides,2,0.017512343337867727,0.2691029900332226,300,F3,0.41400460005111167
idh_status,conch,featnorm,both_sides,2,0.049727501144064636,0.0033222591362126247,300,F3,0.014238253440911248
idh_status,hoptimus,flow_ood,both_sides,2,0.03093782586495762,0.009966777408637873,300,F3,0.03322259136212624
idh_status,hoptimus,flow_energy,both_sides,2,0.030576112968129614,0.0033222591362126247,300,F3,0.014238253440911248
idh_status,hoptimus,maha,both_sides,2,0.036306514296891114,0.0033222591362126247,300,F3,0.014238253440911248
idh_status,hoptimus,n_patches,both_sides,2,0.017522801107596252,0.24916943521594684,300,F3,0.41400460005111167
idh_status,hoptimus,featnorm,both_sides,2,0.001446479435654111,0.9302325581395349,300,F3,0.9623095429029671
sex,uni2,flow_ood,both_sides,2,9.088453302304156e-05,0.9966777408637874,300,F3,0.9966777408637874
sex,uni2,flow_energy,both_sides,2,0.0013154540565112052,0.8538205980066446,300,F3,0.9486895533407163
sex,uni2,maha,both_sides,2,0.0024494578936491316,0.760797342192691,300,F3,0.8950556966972836
sex,uni2,n_patches,both_sides,2,0.0030336238956540688,0.8538205980066446,300,F3,0.9486895533407163
sex,uni2,featnorm,both_sides,2,0.015731322923969913,0.2558139534883721,300,F3,0.41400460005111167
sex,conch,flow_ood,both_sides,2,0.02446026797053968,0.06976744186046512,300,F3,0.17541528239202658
sex,conch,flow_energy,both_sides,2,0.024340216929168167,0.0664451827242525,300,F3,0.17541528239202658
sex,conch,maha,both_sides,2,0.02437992038142962,0.10631229235880399,300,F3,0.23624953857511996
sex,conch,n_patches,both_sides,2,0.003015512380517792,0.8438538205980066,300,F3,0.9486895533407163
sex,conch,featnorm,both_sides,2,0.026983467041613876,0.07308970099667775,300,F3,0.17541528239202658
sex,hoptimus,flow_ood,both_sides,2,0.015537304259399816,0.132890365448505,300,F3,0.2749455836865621
sex,hoptimus,flow_energy,both_sides,2,0.015655847133436276,0.08637873754152824,300,F3,0.19933554817275748
sex,hoptimus,maha,both_sides,2,0.01563713171203781,0.16943521594684385,300,F3,0.3388704318936877
sex,hoptimus,n_patches,both_sides,2,0.001101273753098599,0.9269102990033222,300,F3,0.9623095429029671
sex,hoptimus,featnorm,both_sides,2,0.012146991810687265,0.40863787375415284,300,F3,0.5662941709453337
age_band,uni2,flow_ood,both_sides,4,0.010669220463963128,0.5647840531561462,300,F3,0.6777408637873755
age_band,uni2,flow_energy,both_sides,4,0.0104260170877082,0.5116279069767442,300,F3,0.6264831514000949
age_band,uni2,maha,both_sides,4,0.014771899610202274,0.5016611295681063,300,F3,0.6264831514000949
age_band,uni2,n_patches,both_sides,4,0.023516974654462675,0.5049833887043189,300,F3,0.6264831514000949
age_band,uni2,featnorm,both_sides,4,0.042266630126461466,0.0664451827242525,300,F3,0.17541528239202658
age_band,conch,flow_ood,both_sides,4,0.027837837489913288,0.23255813953488372,300,F3,0.41400460005111167
age_band,conch,flow_energy,both_sides,4,0.026838730684662197,0.23920265780730898,300,F3,0.41400460005111167
age_band,conch,maha,both_sides,4,0.03208251900655923,0.2292358803986711,300,F3,0.41400460005111167
age_band,conch,n_patches,both_sides,4,0.02704619337788528,0.4053156146179402,300,F3,0.5662941709453337
age_band,conch,featnorm,both_sides,4,0.04604006007663338,0.03322259136212625,300,F3,0.10491344640671448
age_band,hoptimus,flow_ood,both_sides,4,0.018010382967103188,0.39867109634551495,300,F3,0.5662941709453337
age_band,hoptimus,flow_energy,both_sides,4,0.017770616369237647,0.4152823920265781,300,F3,0.5662941709453337
age_band,hoptimus,maha,both_sides,4,0.021362476801669052,0.4019933554817276,300,F3,0.5662941709453337
age_band,hoptimus,n_patches,both_sides,4,0.024396620896136513,0.43853820598006643,300,F3,0.584717607973422
