encoder,detector,variant,dataset,n,spearman_rho,p
hoptimus,flow_ood,p95,tcga,3945,0.12637655296497224,1.624939927812947e-15
hoptimus,flow_ood,p99,ebrains,641,0.40508202457536535,1.0418803673126409e-26
hoptimus,flow_ood,p99,tcga,3945,0.1578426649631092,1.9925874729290687e-23
hoptimus,flow_ood,std,ebrains,641,0.17462955986615109,8.713823179928235e-06
hoptimus,flow_ood,std,tcga,3945,0.06495755423586559,4.4466877561655685e-05
hoptimus,flow_ood,top5_mean,ebrains,641,0.3824611754573893,9.298495824283263e-24
hoptimus,flow_ood,top5_mean,tcga,3945,0.14385928138029255,1.0848013290334376e-19
hoptimus,maha,mean,ebrains,641,0.31573748796169954,2.6425229468315104e-16
hoptimus,maha,mean,tcga,3945,0.10666999734294928,1.8561980983889137e-11
hoptimus,maha,median,ebrains,641,0.30850315015804036,1.3367547413079162e-15
hoptimus,maha,median,tcga,3945,0.09826518045584487,6.211109571699802e-10
hoptimus,maha,p90,ebrains,641,0.3169616182175971,1.999714076430066e-16
hoptimus,maha,p90,tcga,3945,0.12471393668674907,3.798231786244282e-15
hoptimus,maha,p95,ebrains,641,0.3226845536001212,5.34066738076824e-17
hoptimus,maha,p95,tcga,3945,0.13497554386639452,1.6801826850388693e-17
hoptimus,maha,p99,ebrains,641,0.37831552600923307,3.0529132500474055e-23
hoptimus,maha,p99,tcga,3945,0.1628610776138619,7.442116764464377e-25
hoptimus,maha,std,ebrains,641,0.3396579873377747,8.98804068749615e-19
hoptimus,maha,std,tcga,3945,0.14725889035714726,1.444471036482335e-20
hoptimus,maha,top5_mean,ebrains,641,0.36387569152492755,1.6824661799214444e-21
hoptimus,maha,top5_mean,tcga,3945,0.15067049814937247,1.81951637874877e-21
hoptimus,mahaenergy,mean,ebrains,641,0.32260304211659874,5.4431285397276996e-17
hoptimus,mahaenergy,mean,tcga,3945,0.11410166368813052,6.581853074747979e-13
hoptimus,mahaenergy,p95,ebrains,641,0.3258556191284631,2.5384638510577044e-17
hoptimus,mahaenergy,p95,tcga,3945,0.13863503010164702,2.189665340890741e-18
hoptimus,mahaenergy,top5_mean,ebrains,641,0.3677508586243236,5.851497753919839e-22
hoptimus,mahaenergy,top5_mean,tcga,3945,0.1537186946795506,2.7426664838215025e-22
hoptimus,mahapc,mean,ebrains,641,0.3138420384222796,4.058389326904297e-16
hoptimus,mahapc,mean,tcga,3945,0.1382839059470811,2.668891198441265e-18
hoptimus,mahapc,p95,ebrains,641,0.3310603711112656,7.346439682517683e-18
hoptimus,mahapc,p95,tcga,3945,0.16689194467781304,4.9135179757737864e-26
hoptimus,mahapc,top5_mean,ebrains,641,0.37036836139746304,2.843798717757193e-22
hoptimus,mahapc,top5_mean,tcga,3945,0.180731270632045,2.568592873863009e-30
hoptimus,n_patches,raw,ebrains,641,1.0,0.0
hoptimus,n_patches,raw,tcga,3945,1.0,0.0
uni2,featnorm,mean,ebrains,641,0.18896444091149958,1.4476136489690757e-06
uni2,featnorm,mean,tcga,3945,0.17442957804087642,2.532725871385391e-28
uni2,featnorm,p95,ebrains,641,0.1441456723420249,0.0002507502690720206
uni2,featnorm,p95,tcga,3945,0.1127638333778325,1.2205056588759896e-12
uni2,featnorm,top5_mean,ebrains,641,0.17184873992656283,1.2145603145902929e-05
uni2,featnorm,top5_mean,tcga,3945,0.12739790888989455,9.591518710696905e-16
uni2,flow_energy,mean,ebrains,641,0.20069325768122873,3.000008347367162e-07
uni2,flow_energy,mean,tcga,3945,-0.04720335164626868,0.0030217182469647955
uni2,flow_energy,p95,ebrains,641,0.20940769411682283,8.753318217800349e-08
uni2,flow_energy,p95,tcga,3945,-0.016645031684250088,0.29592925003263715
uni2,flow_ood,mean,ebrains,641,0.2025962455441948,2.3029740022071551e-07
uni2,flow_ood,mean,tcga,3945,-0.055719889556472606,0.000462933982303072
uni2,flow_ood,median,ebrains,641,0.15511020219304072,8.036749927070702e-05
uni2,flow_ood,median,tcga,3945,-0.07638408436552116,1.5620937498801123e-06
uni2,flow_ood,p90,ebrains,641,0.19067025892804595,1.158289517438792e-06
uni2,flow_ood,p90,tcga,3945,-0.041377323079768796,0.009345016359245329
uni2,flow_ood,p95,ebrains,641,0.2154920092263225,3.5875775581649386e-08
uni2,flow_ood,p95,tcga,3945,-0.020118260207051018,0.20646703820003787
uni2,flow_ood,p99,ebrains,641,0.30192056250309474,5.622859122851116e-15
uni2,flow_ood,p99,tcga,3945,0.03131299809593807,0.04922883558293765
uni2,flow_ood,std,ebrains,641,0.08770066094583324,0.02639507839942013
uni2,flow_ood,std,tcga,3945,-0.01801180015016234,0.2580379956538042
uni2,flow_ood,top5_mean,ebrains,641,0.27496971767517814,1.3893429075052998e-12
uni2,flow_ood,top5_mean,tcga,3945,0.010227486587275325,0.5207473382743901
uni2,maha,mean,ebrains,641,0.17929362052700698,4.9344788600512894e-06
