variable,level,encoder,detector,estimand,n_ebrains,n_tcga,auroc,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",conch,flow_energy,tcga_side_only,641,17,0.9665989797081624,0.9416858829977054,0.985508361316125,500,0
site,The University of New South Wales,conch,flow_energy,tcga_side_only,641,19,0.6916724041207669,0.6139166508182528,0.7801202030372865,500,0
site,Thomas Jefferson University,conch,flow_energy,tcga_side_only,641,19,0.7100246073031415,0.6036736800511401,0.8077254211354399,500,0
site,UCSF,conch,flow_energy,tcga_side_only,641,28,0.8800746643133998,0.8175369381648935,0.9314694040681512,500,0
site,University of Florida,conch,flow_energy,tcga_side_only,641,27,0.5775714183175424,0.4661566883975428,0.6792729468187512,500,0
site,University of Sao Paulo,conch,flow_energy,tcga_side_only,641,17,0.5818449327405382,0.4492601777165598,0.7041392152896638,500,0
site,Case Western,conch,maha,tcga_side_only,641,69,0.5924107895180317,0.5299014721294353,0.6639355725571585,500,0
site,Case Western - St Joes,conch,maha,tcga_side_only,641,103,0.513909507413261,0.4638941341269486,0.5745986170044414,500,0
site,Dept of Neurosurgery at University of Heidelberg,conch,maha,tcga_side_only,641,48,0.6946125040374677,0.6367098659851096,0.7439447375878618,500,0
site,Duke,conch,maha,tcga_side_only,641,59,0.6245850988700565,0.5682607508588106,0.6866061762789415,500,0
site,Emory University,conch,maha,tcga_side_only,641,21,0.7685919619785899,0.6712148786456937,0.8556486889827238,500,0
site,Fondazione-Besta,conch,maha,tcga_side_only,641,21,0.712454434293097,0.641038186557431,0.7846996766839142,500,0
site,Henry Ford Hospital,conch,maha,tcga_side_only,641,173,0.6841412936326566,0.6463326685395617,0.724444047774731,500,0
site,MD Anderson Cancer Center,conch,maha,tcga_side_only,641,37,0.75478570867379,0.6801996032612329,0.8354093123646603,500,0
site,Mayo Clinic - Rochester,conch,maha,tcga_side_only,641,37,0.3872469489838676,0.3229138986581037,0.4662881870563161,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",conch,maha,tcga_side_only,641,17,0.9244763166894664,0.8792061220729618,0.9634155624384771,500,0
site,The University of New South Wales,conch,maha,tcga_side_only,641,19,0.5803798194614443,0.4886901467612374,0.6797890178495966,500,0
site,Thomas Jefferson University,conch,maha,tcga_side_only,641,19,0.6193900448796409,0.5103552454526684,0.7377338664628434,500,0
site,UCSF,conch,maha,tcga_side_only,641,28,0.8457390296234774,0.7754252944972632,0.9055695216076706,500,0
site,University of Florida,conch,maha,tcga_side_only,641,27,0.505109639678438,0.4162904913557818,0.6007144413338297,500,0
site,University of Sao Paulo,conch,maha,tcga_side_only,641,17,0.5550123974008209,0.4167083714470715,0.6884409723220147,500,0
site,Case Western,conch,n_patches,tcga_side_only,641,69,0.631739323531064,0.5586660421691261,0.7059988243707703,500,0
site,Case Western - St Joes,conch,n_patches,tcga_side_only,641,103,0.5849312885715362,0.5328944085199977,0.6346775548503327,500,0
site,Dept of Neurosurgery at University of Heidelberg,conch,n_patches,tcga_side_only,641,48,0.6715244973352713,0.5936047675808408,0.7469876953519767,500,0
site,Duke,conch,n_patches,tcga_side_only,641,59,0.8366338605308107,0.7928335899885907,0.8773908571206542,500,0
site,Emory University,conch,n_patches,tcga_side_only,641,21,0.7739098837209302,0.6822913665299882,0.8552447070805673,500,0
site,Fondazione-Besta,conch,n_patches,tcga_side_only,641,21,0.7476395233480989,0.6826157817034538,0.8093976795293764,500,0
site,Henry Ford Hospital,conch,n_patches,tcga_side_only,641,173,0.3273664695075503,0.2878099353898968,0.3659013693568219,500,0
site,MD Anderson Cancer Center,conch,n_patches,tcga_side_only,641,37,0.6493943798449613,0.5895032447777422,0.7201137637571321,500,0
site,Mayo Clinic - Rochester,conch,n_patches,tcga_side_only,641,37,0.7662548449612403,0.7097140357245584,0.8161135717892983,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",conch,n_patches,tcga_side_only,641,17,0.7753494784541723,0.7216429307234754,0.8198497651034841,500,0
site,The University of New South Wales,conch,n_patches,tcga_side_only,641,19,0.6614341085271318,0.5634186716401598,0.7655542524376423,500,0
site,Thomas Jefferson University,conch,n_patches,tcga_side_only,641,19,0.4429512188902489,0.3689147792838975,0.5299792952839814,500,0
site,UCSF,conch,n_patches,tcga_side_only,641,28,0.5777568694629014,0.4589761395471292,0.6829913659427649,500,0
site,University of Florida,conch,n_patches,tcga_side_only,641,27,0.7492548629055411,0.690208229441134,0.8040797027799413,500,0
site,University of Sao Paulo,conch,n_patches,tcga_side_only,641,17,0.8902669716142271,0.8184415061267757,0.9434421556839636,500,0
site,Case Western,conch,featnorm,tcga_side_only,641,69,0.4692374803392877,0.3959390396984265,0.5465873943966506,500,0
site,Case Western - St Joes,conch,featnorm,tcga_side_only,641,103,0.3352662611951531,0.2851090522595249,0.3932836729361269,500,0
site,Dept of Neurosurgery at University of Heidelberg,conch,featnorm,tcga_side_only,641,48,0.223520015746124,0.1595494232991379,0.2922940904288647,500,0
site,Duke,conch,featnorm,tcga_side_only,641,59,0.5294128153330705,0.4594993180987123,0.5994190452564044,500,0
site,Emory University,conch,featnorm,tcga_side_only,641,21,0.4635151347360649,0.34687161963194,0.5819653349735888,500,0
site,Fondazione-Besta,conch,featnorm,tcga_side_only,641,21,0.0679021317829457,0.0141549108405014,0.1487515246294074,500,0
site,Henry Ford Hospital,conch,featnorm,tcga_side_only,641,173,0.6272294873302864,0.5746850871428776,0.6783052454902502,500,0
site,MD Anderson Cancer Center,conch,featnorm,tcga_side_only,641,37,0.5274070945945946,0.4138351781280585,0.6235733744517594,500,0
site,Mayo Clinic - Rochester,conch,featnorm,tcga_side_only,641,37,0.5234866043368951,0.4185536127337782,0.6137809285971572,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",conch,featnorm,tcga_side_only,641,17,0.0475433196534427,0.0172708683539273,0.0835930332626528,500,0
site,The University of New South Wales,conch,featnorm,tcga_side_only,641,19,0.5738021470828233,0.4682214312689656,0.6960022240117253,500,0
site,Thomas Jefferson University,conch,featnorm,tcga_side_only,641,19,0.4553989443084455,0.3539190327993143,0.5630288260404667,500,0
site,UCSF,conch,featnorm,tcga_side_only,641,28,0.3670832468161683,0.2699904457201535,0.4718437308071349,500,0
site,University of Florida,conch,featnorm,tcga_side_only,641,27,0.3619513530002871,0.2453545152521271,0.4825769696283452,500,0
site,University of Sao Paulo,conch,featnorm,tcga_side_only,641,17,0.4511599407204742,0.2943723989883869,0.6053947555230108,500,0
site,Case Western,hoptimus,flow_ood,tcga_side_only,641,69,0.771988751263903,0.7109636035313202,0.8288619432504567,500,0
site,Case Western - St Joes,hoptimus,flow_ood,tcga_side_only,641,103,0.8380211861217731,0.8021881791899873,0.8727330681172921,500,0
site,Dept of Neurosurgery at University of Heidelberg,hoptimus,flow_ood,tcga_side_only,641,48,0.8969961240310077,0.8529309951815854,0.939362653823428,500,0
site,Duke,hoptimus,flow_ood,tcga_side_only,641,59,0.8696851185783734,0.8266661587166259,0.9118152509853532,500,0
site,Emory University,hoptimus,flow_ood,tcga_side_only,641,21,0.9117161544850498,0.8672382039159735,0.9494226965848362,500,0
site,Fondazione-Besta,hoptimus,flow_ood,tcga_side_only,641,21,0.8826619601328904,0.8327745279049868,0.9195843002014136,500,0
