encoder,detector,grouping,family,n_levels,n,eta_squared,p_raw,n_perm_valid,q
hoptimus,n_patches,site,acquisition,15,695,0.35625452131876506,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,n_patches,objective_power,acquisition,2,789,0.0028280310626115123,0.12624584717607973,300.0,0.17753322259136212
hoptimus,n_patches,model,acquisition,11,738,0.14455129628981447,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,n_patches,tumour_type,biology,4,789,0.007491063499800692,0.11960132890365449,300.0,0.170859041290935
hoptimus,n_patches,idh_status,biology,2,789,0.004295943979567789,0.09302325581395349,300.0,0.14189988175009854
hoptimus,n_patches,race_binary,biology,2,766,0.0008648761523618588,0.4219269102990033,300.0,0.517194935799587
hoptimus,featnorm,site,acquisition,15,695,0.267952882056845,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,featnorm,objective_power,acquisition,2,789,0.18171151248547154,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,featnorm,model,acquisition,11,738,0.23006675651242506,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,featnorm,tumour_type,biology,4,789,0.2890847517669332,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,featnorm,idh_status,biology,2,789,0.2536733045902429,0.0033222591362126247,300.0,0.005980066445182725
hoptimus,featnorm,race_binary,biology,2,766,0.0016004516320476307,0.3023255813953488,300.0,0.39433771486349845
uni2,flow_ood,dataset (EBRAINS vs TCGA),cohort,2,1430,0.4238508840313302,,,
uni2,flow_energy,dataset (EBRAINS vs TCGA),cohort,2,1430,0.4266246750726043,,,
uni2,maha,dataset (EBRAINS vs TCGA),cohort,2,1430,0.28295709692740556,,,
uni2,n_patches,dataset (EBRAINS vs TCGA),cohort,2,1430,0.026435364024296134,,,
uni2,featnorm,dataset (EBRAINS vs TCGA),cohort,2,1430,0.03706700232078901,,,
conch,flow_ood,dataset (EBRAINS vs TCGA),cohort,2,1430,0.14404549254898072,,,
conch,flow_energy,dataset (EBRAINS vs TCGA),cohort,2,1430,0.14976248442216378,,,
conch,maha,dataset (EBRAINS vs TCGA),cohort,2,1430,0.05738949255170786,,,
conch,n_patches,dataset (EBRAINS vs TCGA),cohort,2,1430,0.026435364024296134,,,
conch,featnorm,dataset (EBRAINS vs TCGA),cohort,2,1430,0.004933550479833295,,,
hoptimus,flow_ood,dataset (EBRAINS vs TCGA),cohort,2,1430,0.3342740479261086,,,
hoptimus,flow_energy,dataset (EBRAINS vs TCGA),cohort,2,1430,0.33828882070095007,,,
hoptimus,maha,dataset (EBRAINS vs TCGA),cohort,2,1430,0.24212962029967597,,,
hoptimus,n_patches,dataset (EBRAINS vs TCGA),cohort,2,1430,0.026435364024296137,,,
hoptimus,featnorm,dataset (EBRAINS vs TCGA),cohort,2,1430,0.021226941287590673,,,
