encoder,fold,detector,variant,fold_policy,n_id,n_ood,auroc,auprc_ood_positive,auprc_id_positive,prevalence_ood,fpr_at_95_tpr,rank_biserial,cohens_d,variance_ratio,ks_stat,ks_p,ks_stat_location,ks_stat_sign,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
hoptimus,1,featnorm,p95,per_fold,128,789,0.6108602661596958,0.9129548563391575,0.17263451233998467,0.8604143947655398,0.953125,0.2217205323193916,0.36822414910245205,1.56874681216282,0.18790597275031687,0.0007015401686425526,36.0625,1.0,0.5668489830877693,0.6621481156923321,500,0
hoptimus,1,featnorm,top5_mean,per_fold,128,789,0.6120237246514575,0.9124840368243499,0.1752637243573819,0.8604143947655398,0.953125,0.22404744930291498,0.37096932688647044,1.456673834984377,0.1890248732572877,0.0006365887094858145,36.09765625,1.0,0.5594173300855514,0.6596425954531052,500,0
hoptimus,1,flow_energy,mean,per_fold,128,789,0.861830640050697,0.972438914081355,0.5437616838776769,0.8604143947655398,0.53125,0.723661280101394,1.5456784330212596,1.111228949245875,0.5803528992395437,2.515530316442229e-35,74.56734466552734,1.0,0.8270174865335869,0.8926835788973384,500,0
hoptimus,1,flow_energy,p95,per_fold,128,789,0.8057865969581748,0.9518990313143036,0.43954528395368775,0.8604143947655398,0.640625,0.6115731939163496,1.1200234369430866,0.9016161378022111,0.5216353770595691,3.571149746260746e-28,93.29359436035156,1.0,0.762563618900507,0.8478577511089986,500,0
hoptimus,1,flow_ood,mean,per_fold,128,789,0.8596621514575412,0.972039922369493,0.5419240598779738,0.8604143947655398,0.5390625,0.7193243029150824,1.5316320645866495,1.0785476521499164,0.575283190747782,1.1468403072070231e-34,73.84827423095703,1.0,0.8266976592205324,0.8920877396229405,500,0
hoptimus,1,flow_ood,median,per_fold,128,789,0.8615830956907479,0.9728147031274939,0.5341621950999049,0.8604143947655398,0.5546875,0.7231661913814957,1.53779522478942,1.039408573127264,0.5617573669201521,6.065849790165954e-33,74.02928161621094,1.0,0.8274496989860584,0.8933222433460077,500,0
hoptimus,1,flow_ood,p90,per_fold,128,789,0.8232038181242081,0.9600123255894338,0.46942180539038675,0.8604143947655398,0.6015625,0.6464076362484161,1.2773115729426912,0.9708371323650375,0.5281804499366286,6.411119971003391e-29,88.56887817382812,1.0,0.7804108246197718,0.8585036438529784,500,0
hoptimus,1,flow_ood,p95,per_fold,128,789,0.8037864385297846,0.9517214309636111,0.4373782662399489,0.8604143947655398,0.6328125,0.6075728770595692,1.1173678363580544,0.8921231331231949,0.5140308143219265,2.549025126311518e-27,92.73116302490234,1.0,0.7611513783269962,0.8437542082541192,500,0
hoptimus,1,flow_ood,p99,per_fold,128,789,0.764931875792142,0.9341309778699112,0.3898428507798843,0.8604143947655398,0.7265625,0.5298637515842839,0.8587205479909528,0.801382711595413,0.4618583650190114,6.889965655929835e-22,101.98912048339844,1.0,0.7172820619455007,0.812807202550697,500,0
hoptimus,1,flow_ood,std,per_fold,128,789,0.38418884664131814,0.8157714227508477,0.11226104307480658,0.8604143947655398,0.96875,-0.23162230671736372,-0.37343667529048996,0.7482832686423732,0.18951996197718632,0.0006097171229207676,11.88669204711914,-1.0,0.330722482968948,0.4355193975760456,500,0
hoptimus,1,flow_ood,top5_mean,per_fold,128,789,0.7847750316856781,0.9428052728132661,0.4185267884049472,0.8604143947655398,0.703125,0.5695500633713562,0.9801265251548978,0.8570725637509736,0.4927122940430925,5.098507831271615e-25,97.74810028076172,1.0,0.7395004059727504,0.8248296894803548,500,0
hoptimus,1,maha,mean,per_fold,128,789,0.8266100285171102,0.9642673157845388,0.459717351764136,0.8604143947655398,0.5859375,0.6532200570342204,1.3017161487102535,1.8653199253494184,0.5260812737642585,1.1010503479910643e-28,66.2459284712387,1.0,0.7864994256970849,0.8596574481147021,500,0
hoptimus,1,maha,median,per_fold,128,789,0.8378980513307985,0.9672629222147053,0.4732161005860444,0.8604143947655398,0.6171875,0.6757961026615971,1.3617370475947306,2.0227473066334443,0.5338739702154626,1.4190997058055236e-29,64.21393803715341,1.0,0.7976008000633714,0.8709707204531051,500,0
hoptimus,1,maha,p90,per_fold,128,789,0.7765565589353612,0.9471100693658719,0.3875189713369263,0.8604143947655398,0.65625,0.5531131178707225,1.0179708820596571,1.401117609442779,0.4462729721166033,2.0591574253468285e-20,93.6217121516755,1.0,0.7334222017585551,0.8211942530101394,500,0
hoptimus,1,maha,p95,per_fold,128,789,0.7537923795944235,0.9374458374041729,0.3503618384383359,0.8604143947655398,0.6875,0.5075847591888469,0.8800480176458629,1.1893835825206638,0.40800261406844107,5.1784949674030073e-17,112.78121499091095,1.0,0.7080251406051965,0.7977872009664133,500,0
