encoder,detector,variant,fold_policy,auroc,auroc_ci_low,auroc_ci_high,fold_sd_model_instability,n_ebrains,n_tcga,n_boot_valid,n_boot_dropped
conch,featnorm,top5_mean,fold_averaged,0.4287189145690256,0.3988690850935649,0.45924671927441124,0.017628194873419087,641,789,2000,0
hoptimus,flow_ood,mean,fold_averaged,0.8456678432123874,0.8257014755519851,0.8659397488725066,0.02069324743558848,641,789,2000,0
hoptimus,flow_ood,std,fold_averaged,0.4003579836855602,0.37177934904826454,0.43045641158705217,0.038625684665551385,641,789,2000,0
hoptimus,flow_ood,median,fold_averaged,0.843028674924593,0.8222218010334041,0.8627585315841189,0.01982911141165433,641,789,2000,0
hoptimus,flow_ood,p90,fold_averaged,0.8126057263880291,0.7898694557684883,0.8347588761267903,0.024427546752764404,641,789,2000,0
hoptimus,flow_ood,p95,fold_averaged,0.7995243310391921,0.7768752400188468,0.8223215372758234,0.026050316610848372,641,789,2000,0
hoptimus,flow_ood,p99,fold_averaged,0.7642133754089663,0.7392220796023702,0.787857264562999,0.03752184575919813,641,789,2000,0
hoptimus,flow_ood,top5_mean,fold_averaged,0.7824531500230888,0.7580456178320483,0.8056336998622871,0.032510520528905844,641,789,2000,0
hoptimus,flow_energy,mean,fold_averaged,0.8481858260628211,0.8288289183766561,0.8683175254519682,0.0207835389584232,641,789,2000,0
hoptimus,flow_energy,p95,fold_averaged,0.8018393351902613,0.7770730469544266,0.8234334422906895,0.025930891819685647,641,789,2000,0
hoptimus,maha,mean,fold_averaged,0.8060237175897269,0.7838875223915125,0.8283329485603073,0.02392880902227955,641,789,2000,0
hoptimus,maha,std,fold_averaged,0.6232836770860967,0.5919141152155847,0.6513335160920145,0.025685480788295034,641,789,2000,0
hoptimus,maha,median,fold_averaged,0.816097660049518,0.7938081182836311,0.8372604403657832,0.022153854345436312,641,789,2000,0
hoptimus,maha,p90,fold_averaged,0.7590700099969543,0.7342904425818075,0.7833294987369354,0.022962323458193844,641,789,2000,0
hoptimus,maha,p95,fold_averaged,0.7386280193503699,0.7134206339351175,0.7642639689573735,0.023393180383970175,641,789,2000,0
hoptimus,maha,p99,fold_averaged,0.6862050014246274,0.6575060870315511,0.7134596196023966,0.0342836939664121,641,789,2000,0
hoptimus,maha,top5_mean,fold_averaged,0.7066729976616462,0.6789054602024124,0.7328007351983553,0.031415285831122054,641,789,2000,0
hoptimus,mahapc,mean,fold_averaged,0.8238930430286595,0.8016196393669346,0.8447081557094597,0.023688355175072104,641,789,2000,0
hoptimus,mahapc,p95,fold_averaged,0.7626285541997032,0.737335580871467,0.7867993727846422,0.023314613993419008,641,789,2000,0
hoptimus,mahapc,top5_mean,fold_averaged,0.7319801982933946,0.7060052031145352,0.7585223408341347,0.031175262172414456,641,789,2000,0
hoptimus,mahaenergy,mean,fold_averaged,0.8075229383431092,0.785283301280519,0.8309749234084503,0.0242355261813569,641,789,2000,0
hoptimus,mahaenergy,p95,fold_averaged,0.7402258894096148,0.7136984669581602,0.7657318896665649,0.02347481882416468,641,789,2000,0
hoptimus,mahaenergy,top5_mean,fold_averaged,0.7082252888554839,0.6814663108680155,0.7352954490155943,0.03142466532717461,641,789,2000,0
hoptimus,n_patches,raw,fold_averaged,0.592330523071595,0.5622388565931389,0.6234435061843582,0.025699504038948388,641,789,2000,0
hoptimus,featnorm,mean,fold_averaged,0.5950813281088808,0.5666895573789658,0.6233708927945139,0.026408954606161016,641,789,2000,0
hoptimus,featnorm,p95,fold_averaged,0.6415691687299201,0.6132958638308634,0.6692027679942716,0.02446541482572288,641,789,2000,0
hoptimus,featnorm,top5_mean,fold_averaged,0.6459198855876834,0.6163972851749787,0.6746474288133546,0.024777039459530855,641,789,2000,0
